MS:1000894_[sec]	MS:1000285	S/N	peak_count
0.4571	10833	1.391	79
3.0594	3390325	5.86582	609
4.023	215790	2.2088	846
6.9531	4411609	1.95604	1202
8.013	6850251	2.06043	1067
9.02299999999998	7066541	1.95948	1181
10.0331	6398346	1.93907	1167
11.0531	9209619	1.88559	1090
12.033	6767331	1.89222	1130
13.043	6906525	1.84555	1043
14.0331	11115787	1.7883	1220
15.013	10706771	1.84261	1160
15.993	11474128	1.80139	1168
16.973	11539404	1.82452	1156
17.943	9756654	1.78767	1250
18.933	12176704	1.83166	1234
19.903	12267622	1.86295	1225
20.883	12376943	1.85192	1199
21.863	12078814	1.8196	1189
22.8333	12077398	1.79859	1231
23.803	12450868	1.84905	1239
24.783	11997469	1.83599	1425
25.7631	12876188	1.78823	1292
26.743	13463355	1.77553	1307
27.7231	13169771	1.76202	1411
28.693	12796189	1.82771	1309
29.673	13204812	1.82479	1284
30.653	12896531	1.83987	1330
31.6231	12204602	1.78792	1386
32.6131	13460695	1.83813	1322
33.5931	13169728	1.78624	1371
34.553	14233295	1.81746	1451
35.533	14455971	1.85156	1438
36.513	15172016	1.82099	1407
37.4831	15509714	1.83139	1483
38.463	14034555	1.8176	1409
39.4631	16028966	1.80724	1487
40.4131	15748828	1.88119	1497
41.3831	15715141	1.84084	1510
42.3631	15272499	1.85498	1461
43.3431	15103509	1.81578	1411
44.3131	16160022	1.8098	1547
45.293	15326847	1.8324	1431
46.2631	16736397	1.85305	1481
47.2331	15937068	1.82676	1484
48.2137	16919720	1.81645	1457
49.183	13459537	1.84798	1691
50.173	18669034	1.79372	1515
51.143	21575042	1.82878	1621
52.103	22708930	1.83818	1703
53.073	25650510	1.81996	1663
54.043	29348032	1.88813	1669
54.993	38143952	2.02421	1577
55.933	46040156	2.09757	1513
56.8831	50187244	2.116	1366
57.823	52357268	1.97913	1247
58.763	55690104	1.97235	1102
59.703	58402492	1.86778	930
60.6430999999998	65596288	1.83213	959
61.5829999999998	69338224	1.80473	914
62.5032	65078560	1.85029	807
63.453	60216028	1.8034	754
64.3731	44117980	1.70615	544
65.3239999999998	36362080	1.61956	513
66.2329999999998	30925432	1.67574	502
67.1629999999998	24826648	1.64237	446
68.103	27643410	1.81423	541
69.033	26135524	1.80824	571
69.9730000000002	29063820	1.80914	691
70.9129999999998	24762706	1.79139	701
71.853	25610208	1.78379	859
72.7930000000002	26605022	1.78241	989
73.7332999999998	25760656	1.85501	1102
74.6830000000002	24459278	1.80451	1189
75.633	25324922	1.81716	1328
76.5829999999998	23003154	1.80262	1324
