MS:1000894_[sec]	MS:1000285	S/N	peak_count
0.462	77364	3.24207	276
2.9273	13472	1.22342	109
5.8833	867512	1.93936	3143
8.67769999999998	6519215	2.13453	1696
9.74770000000002	6656349	2.17093	1443
10.8077	7526919	2.15361	1575
11.8377	7674279	2.10434	1589
12.8777	9077611	2.1245	1663
13.9076	8531671	2.15363	1584
14.9477	9883927	2.1215	1606
15.9577	9585068	2.09169	1649
16.9777	9862918	2.078	1715
17.9977	9593847	2.09078	1600
19.0176	10460198	2.0162	1687
20.0377	10929182	2.06624	1811
21.0677	9903452	2.05765	1718
22.0777	11643876	2.04818	1790
23.0976	10669630	2.02037	1769
24.1078	10273115	2.03678	1783
25.1378	9730137	2.03411	1761
26.1842	10590278	1.98877	1801
27.0673	8630311	2.01579	1613
27.9974	10710835	2.0255	1759
28.8973	9232281	1.95616	1666
29.8174	7938922	1.98651	1679
30.7773	8465810	1.97824	1887
31.6974	8628844	1.92835	1762
32.6174	8091835	2.01277	1709
33.5573	9051127	2.01805	1770
34.4773	7798005	1.91998	1710
35.4073	8060212	2.00632	1640
36.3473	8293646	1.96968	1755
37.2676	7543046	1.94686	1664
38.1973	7680808	1.94062	1697
39.1373	6749406	1.93798	1634
40.0773	6946354	1.92374	1566
41.0173	7880811	1.9252	1605
41.9574	6761459	1.90014	1571
42.8973	6219883	1.92045	1541
43.8374	6019766	1.92011	1516
44.8074	6105626	1.85309	1636
45.7374	6700219	1.85926	1641
46.6775	6379610	1.89039	1567
47.6173	6550084	1.90357	1701
48.5673	6470537	1.8549	1674
49.5173	6725796	1.82853	1710
50.4674	7865412	1.81717	1911
51.4074	8697559	1.78068	2049
52.3574	10115847	1.81437	2235
53.2874	11236487	1.79933	2330
54.2173	12779851	1.76015	2296
55.1273	13876493	1.82017	2312
56.0373	16325053	1.79273	2324
56.9833	20041950	1.79558	2077
57.9177	21768006	1.76796	1907
58.8879	25728084	1.79596	1820
59.8477	27450522	1.84688	1560
60.8077000000002	27735688	1.80272	1465
61.7577	30151892	1.85669	1383
62.6686000000002	27047032	1.89573	1204
63.6577000000002	26585258	1.93458	1124
64.6075999999998	25876046	1.99032	975
65.5477000000002	22156864	2.01505	839
66.4876999999998	19724768	2.01586	809
67.4377000000002	18326744	2.00339	810
68.3875999999998	13850053	1.90684	788
69.3376000000002	11792421	1.95788	799
70.2976999999998	10063992	1.90178	831
71.2576999999998	10976544	1.82692	826
72.2176999999998	9670312	1.76298	897
73.1976	6154914	1.80294	882
74.1777	6506710	1.75338	1074
