MS:1000894_[sec]	MS:1000040	MS:1000041	S/N	peak_count
245.79	718.533	2	1.44726	35
250.4485	604.050537109375	2	1.93058	29
251.5514	492.061004638672	2	2.12518	48
254.32	508.036163330078	2	1.32719	22
256.245	700.064086914063	2	2.97614	23
257.4678	692.077209472656	2	1.19395	24
258.3197	588.074340820313	2	1.50455	19
262.3973	500.049072265625	2	2.23532	26
263.8631	684.08837890625	2	10.78	64
270.95	604.04931640625	2	1.6332	25
272.0943	492.060729980469	2	1.94895	40
274.7654	508.036712646484	2	1.40173	26
277.7833	588.077087402344	2	1.38047	22
282.7761	500.049560546875	2	2.54354	21
283.7524	796.076538085938	2	1.39211	30
339.3195	700.0631	2	1.31846	22
356.9025	527.010009765625	2	3.45571	37
362.6511	796.078063964844	2	1.19825	23
378.4689	692.077575683594	2	1.51265	24
395.1822	500.049713134766	2	2.85976	37
403.4543	492.0613	2	3.33179	52
418.029	500.05029296875	2	2.29393	26
425.5201	527.010131835938	2	4.1275	33
464.4655	500.049591064453	2	1.16143	19
483.0759	596.064392089844	2	1.21527	25
603.294100000002	500.049835205078	2	5.89318	24
650.433199999998	500.049133300781	2	1.87183	15
688.2336	527.008239746094	2	3.02018	34
697.899499999998	604.049682617188	2	2.80904	28
699.787900000002	508.036987304688	2	1.33022	21
701.9943	700.064147949219	2	1.19675	34
704.165200000002	492.060974121094	2	2.16589	46
708.546100000002	500.049468994141	2	1.1798	23
709.665799999998	527.009643554688	2	4.47782	26
714.917899999998	588.075073242188	2	3.82796	23
721.187299999998	508.036895751953	2	1.80315	18
745.064200000002	604.049072265625	2	2.41438	24
839.5539	500.049713134766	2	2.31859	35
1306.2713	425.220550537109	4	13.3892	297
1695.334	521.594543457031	3	9.67677	377
1706.7132	589.318237304688	3	12.4358	411
1716.7826	495.2786	4	16.2271	368
1725.1739	442.241	4	9.49951	359
1738.4398	495.2791	4	14.9181	313
1824.7643	482.7953	4	17.6462	369
1856.9692	486.297973632813	4	14.4997	407
1870.2551	458.7652	4	10.5831	359
1970.0709	586.9882	3	15.3499	408
2083.1919	561.2584	3	4.80543	387
2099.1352	550.323852539063	3	13.9699	346
2101.6931	470.770263671875	2	9.2022	236
2119.9153	550.323669433594	3	12.7098	335
2128.3986	433.903076171875	3	11.8795	434
2139.7609	465.581512451172	3	10.0009	371
2142.2572	628.8918	5	6.94358	575
2149.3005	433.903686523438	3	11.7963	405
2160.5119	465.581634521484	3	9.6921	335
2174.9049	603.2791	5	7.43928	515
2197.4657	654.309692382813	2	10.3771	248
2213.489	654.30615234375	2	11.738	258
2234.7354	654.307189941406	2	9.2319	194
2247.8983	465.909484863281	3	10.1356	324
2258.0006	479.5002	4	14.8883	355
2272.8975	547.624328613281	3	10.1434	372
2284.5937	694.315612792969	3	6.44429	616
2289.7056	479.499084472656	4	15.2149	360
2305.1124	694.3161	3	6.02675	471
2376.7284	604.9592	3	7.79293	408
2461.1668	451.272521972656	2	12.399	193
2478.8826	526.364929199219	2	9.22124	145
2494.816	526.361633300781	2	7.86676	149
2527.9496	434.780395507813	2	15.1844	256
2535.0238	507.307006835938	2	14.7858	227
2547.388	670.842895507813	2	8.14811	252
2555.3	434.780029296875	2	14.8883	210
2559.8616	507.305816650391	2	11.4144	189
2567.4785	526.363708496094	2	12.0314	156
2577.8087	526.360900878906	2	14.0651	165
2598.5883	526.362487792969	2	13.1553	147
2602.2845	556.919860839844	3	13.4872	418
2618.6037	440.267639160156	3	17.9228	204
2620.5173	556.9184	3	12.4004	367
2632.007	446.270141601563	3	13.0539	308
2637.6302	507.798858642578	2	16.9697	191
2643.5606	440.267944335938	3	18.9667	210
2644.9515	668.903564453125	2	9.00917	303
2652.4285	446.269622802734	3	11.6711	264
2654.0786	434.780334472656	2	19.0365	170
2660.5396	507.798522949219	2	18.475	194
2667.2963	593.998352050781	3	12.8119	345
2675.1414	434.780395507813	2	17.0909	157
2688.4707	593.997680664063	3	11.2351	297
2692.3735	402.581207275391	3	14.6987	345
2697.7117	526.3642578125	2	9.8534	139
2712.5433	434.780029296875	2	19.5689	136
2715.9787	659.796997070313	2	13.3818	283
2726.1511	526.361145019531	2	12.7025	134
2734.6716	425.774139404297	2	24.1767	160
2739.5761	659.797119140625	2	10.1147	186
2749.1111	526.364562988281	2	8.80473	131
2781.4482	483.953918457031	3	14.1524	401
2787.366	638.5887	4	19.0733	340
2789.9491	568.791	2	5.93995	168
