MS:1000894_[sec]	MS:1000285
28.464	220.474868774414
184.578	105290.8125
352.224	400406.1875
421.23	282524.5625
489.072	421433.75
555.03	393675.28125
615.042	382970.5625
681.03	382382.875
743.424	351811.875
806.424	327273.9375
869.496	237909.71875
934.83	286864.0625
997.842	254356.8125
1061.43	278808.09375
1125.03	345758.9375
1186.83	339948.34375
1249.23	324836.53125
1312.224	339645.5625
1375.23	317048.625
1439.856	324749.9375
1495.206	333731
1551.006	387528.59375
1606.212	338217.4375
1662.606	332416.625
1719.006	332516.40625
1774.806	342463.75
1831.206	336929.96875
1887.606	354082.9375
1944.624	306874.84375
1999.806	286277.5625
2056.206	301607.03125
2112.612	292337.15625
2169.612	241107.75
2226.006	272745.3125
2281.806	247027.359375
2338.806	227717.9375
2395.206	233591.34375
2452.212	195411
2509.206	194546.71875
2566.806	186513.40625
2622.606	165296.796875
2679.612	160820.3125
2736.006	157210.46875
2792.406	157750.578125
2848.206	161956.328125
2905.206	142665.421875
2959.806	181174.890625
3013.812	149497.953125
3069.606	134571.0625
3125.412	168827
3181.206	178735.3125
3235.806	217761.265625
3291.006	236172.46875
3345.006	258928.90625
3399.012	289434.4375
3454.572	300366.46875
3510.036	296284.53125
3568.224	312874.46875
3625.83	439302.8125
3683.43	528630.25
3740.442	904258.0625
3797.424	1073429
3854.436	973977.4375
3910.23	975185.125
3967.224	907918.4375
4023.624	856826
4080.624	630810.3125
4137.642	408080.59375
4194.63	289542.75
4252.83	119388.28125
4311.024	93472.71875
4369.83	107114.4140625
4429.224	137111.40625
4489.83	154457.515625
4550.424	167889.4375
4611.63	154526.734375
4674.024	170584.1875
4735.824	125593.328125
4799.424	168835.859375
4862.43	132209.40625
4926.03	145582.453125
4989.624	147161.890625
5053.224	128440.2109375
5118.03	157571.234375
5181.648	163906.5625
5244.63	149235.53125
5307.63	142640.125
5371.224	134439.046875
5436.03	130897.5546875
5501.226	119973.84375
5557.806	135986.015625
5614.206	117766.9921875
5673.012	120350.53125
5730.606	128130.0234375
5790.006	142823.453125
5848.206	139452.078125
5907.012	165310
5964.012	180232.234375
6023.406	157013.6875
6081.606	121191.921875
6144.606	131983.515625
6207.006	125058.2265625
6270.612	232543
6325.806	262944.4375
6379.806	118399.9609375
6442.806	129734.7109375
6505.812	143931.0625
6568.206	124577.3203125
6632.406	145373.78125
6695.412	124078.8828125
6759.606	133943.8125
6824.406	140305.6875
6888.006	149591.21875
6951.606	129770.0625
7016.418	147886.828125
7080.606	135443.90625
7144.806	134061.96875
7211.454	158900.703125
7273.806	127003.109375
7340.406	142581.46875
7402.806	255106.09375
7459.806	150295.078125
7524.012	149522.75
7589.406	150881.890625
7653.606	130967.6875
7720.212	144513.171875
7787.406	158582.3125
7852.812	145012.703125
7918.206	162600.515625
7984.806	147114.75
8052.012	147503.46875
8119.206	150925.359375
8186.406	145448.390625
8254.812	137343.390625
8322.606	153691.453125
8390.406	154742.34375
8458.812	156092.6875
8526.606	153392.5
8593.806	150023.15625
8663.406	151654.09375
8730.606	140281.125
8800.224	155074.359375
8869.206	150969.75
8938.206	141239.28125
9007.206	146932.234375
9076.806	156999.921875
9145.806	144951.5
9216.012	152134.609375
9285.006	149249.046875
9355.206	152999.5625
9425.406	145450.984375
9497.406	159017.171875
9567.606	162839.953125
9637.806	149597.109375
9708.024	156970.21875
9778.218	158778.203125
9848.406	163783.171875
9918.606	152643.640625
9988.806	204879.21875
10054.206	161746.078125
10124.406	265461.46875
10185.606	160930.984375
10255.806	158796.96875
10326.006	156493.515625
10397.406	163923.296875
10468.212	155209.09375
10539.012	271526.3125
10600.224	151973.65625
10671.606	158479.4375
10743.606	164900
10814.472	162430.171875
10885.206	166914.5625
10956.012	168638.5
11027.406	169019.921875
11098.206	171271.03125
11169.606	165019.734375
11240.406	166437.4375
11311.806	166631.578125
11382.006	167433.921875
11452.806	165799.859375
11523.606	173669.8125
11595.006	157382.828125
11666.406	166935.84375
11737.206	175865.359375
11806.806	159230.9375
11878.206	172840.71875
11949.606	161664.015625
12023.46	160108.03125
12093.006	164094.109375
12165.006	163893.828125
12235.806	166293.28125
12307.206	165086.390625
12375.054	179189.625
12448.206	163952.9375
12520.206	153669.46875
12592.206	160510.0625
12664.206	161104.90625
12735.006	165918.5625
12805.806	173453.453125
12877.206	171505.703125
12947.454	164716.421875
13018.806	161547.859375
13089.612	164271.09375
13161.006	167524.296875
13231.806	172854.875
13302.606	159852.484375
13373.406	167746.984375
13443.006	164564.390625
13513.83	149896.96875
13586.406	161042.0625
13656.606	156002.40625
13727.406	147709.6875
13798.218	148865.9375
13870.206	153192.09375
13941.006	151037.90625
14011.206	158131.859375
14080.806	147805.546875
14151.606	147019.9375
14220.606	140924.0625
14289.612	1126184.125
14353.848	4149880.25
14411.406	8959388
14464.806	11178453
14516.322	144.385284423828
14791.284	394.739898681641
15097.836	10853871
15128.406	12628881
15171.912	372.448181152344
15321.636	11354338
15345.474	1197.01916503906
15407.892	8778.8681640625
15453.33	2775.45263671875
15511.23	11256942
15535.122	561.445739746094
15684.636	10509624
15708.552	10809.9423828125
15773.442	10306981
15797.31	4679.21044921875
15877.236	9955541
15907.806	11257259
15958.206	10688228
16009.206	10593756
16060.806	10408907
16104.966	7814.6220703125
16273.236	9323977
16303.806	10807470
16354.812	10438512
16399.362	700.013122558594
16537.236	9381709
16561.506	3871.70141601562
16651.236	9378958
16682.406	10553578
16726.41	421.551239013672
16810.836	9100710
16835.292	617.958435058594
16975.062	494.370666503906
17296.842	8682234
17321.58	906.677368164062
17387.436	8194141
17419.806	8626581
17470.212	8725327
17522.406	8797690
17574.606	8999405
17626.206	9152410
17677.812	8445453
17730.006	8454766
17782.806	8747141
17833.866	8475370
17886.006	8234316
17938.206	7683313.5
17989.806	8350980.5
18042.006	8259221
18094.206	7943737
18145.812	8386087.5
18198.006	8260490.5
18250.254	7843874.5
18302.412	7874025.5
18354.606	7807432.5
18406.806	8196428
18459.006	7806458
18511.206	9016563
18563.418	7875897
18615.006	7618134.5
18667.806	7962042
18720.006	7964568.5
18772.206	7559447.5
18824.412	7270486
18870.51	809.055908203125
19226.43	6707062
19258.806	7234279
19311.006	7296990.5
19363.806	7332474
19416.012	7422468
19468.206	7409007.5
19521.006	7143864.5
19574.406	6737811
19626.606	7217820
19679.46	7245575
19731.606	7035608.5
19784.406	7219853.5
19837.812	7153373.5
19890.006	7170108.5
19944.006	7112331.5
19995.006	7037223
20047.806	6918612.5
20100.612	7279934.5
20153.406	7010331.5
20206.212	6767928.5
20259.012	6996332.5
20305.338	191.864334106445
21102.636	6500199.5
21136.206	6625337.5
21188.412	6975920.5
21241.206	6935782.5
21294.006	7206782
21346.806	7592045.5
21399.606	7086150
21452.406	5752694.5
21507.006	5550185.5
21561.006	425590.34375
21646.212	1874497.375
21703.212	445932.1875
21783.606	2203382.5
21840.006	456505.59375
21919.206	400108.21875
21999.606	531179.375
22076.406	1431041.875
22135.206	445549.71875
22203.006	449200.5
22271.406	1700061.25
22329.006	464131.03125
22402.206	718400.375
22462.212	178459.203125
22535.406	2017027.375
22588.806	212710.140625
22659.606	352791.84375
22719.606	286399.59375
22785.006	895498.75
22839.606	203325.15625
22915.212	607420.5625
22971.606	716691.8125
23026.806	217664.578125
23102.406	152440.453125
23188.212	339365.59375
23251.812	342924.28125
23314.206	891215
23368.812	289217.34375
23434.812	213646.859375
23508.006	744502.3125
23563.206	585556.75
23620.206	590852.125
23676.606	635591
23733.606	914207.75
23787.606	661128.5625
23844.006	893587.1875
23901.606	511002.75
23958.012	757968.0625
24015.012	706780.0625
24070.806	354730.84375
24135.06	333508.09375
24198.006	316361.0625
24264.606	878031.3125
24319.206	672319.5625
24375.012	470515.03125
24434.412	930797.3125
24489.006	648689.0625
24546.006	944967.75
24600.006	979297.25
24654.618	355101.8125
24718.212	971368.625
24772.806	1115650.625
24826.806	603636.4375
24884.412	601157.1875
24941.412	1035562.8125
24995.406	1193091
25048.806	994212.8125
25103.406	1250263.125
25156.806	646810.0625
25213.854	1117867.25
25267.806	161646.390625
25368.606	720312.5625
25425.006	1102288.875
25479.006	1201772.375
25533.006	649527.625
25590.006	1138399.5
25644.012	880899.75
25699.212	730459.5625
25755.606	927060.8125
25810.812	814891.375
25866.606	1382589.375
25920.012	1280536.5
25973.406	1091178.75
26028.006	1336957.875
26081.46	1331087.125
26134.806	1275056
26181.606	55.7030601501465
26471.436	1173090
26505.024	1474072
26557.806	1526703.25
26611.206	440137.25
26674.206	453601.15625
26736.606	1413009.375
26789.412	1626373.5
26842.806	1358165.375
26896.806	1631266.375
26949.024	983444.5625
27004.212	675300.625
27061.806	1310235.375
27115.206	1943745.125
27168.606	1033019.3125
27223.212	1915840.75
27276.606	1136802.625
27331.206	788891.375
27388.206	1190737.5
27442.206	1552084.5
27495.018	973296.3125
27550.206	410312.21875
27618.606	1642535.625
27672.006	828147.5625
27727.806	1483639
27781.206	1538915.25
27834.606	1079468.25
27888.606	1532597.625
27942.006	1675942.625
27995.46	1088575.25
28043.46	1516.18530273438
28602.03	1537028.875
28635.012	439730.9375
28703.406	676821.375
28760.418	1218097
28816.806	1919197.75
28868.406	960355
