MS:1000894_[sec]	MS:1000285
27.678	192980.15625
175.626	271585.0625
320.814	103847.15625
444.468	1650.72448730469
621.786	379462.46875
675.438	340094.875
736.632	262530.59375
798.432	261479.25
860.838	281048.71875
922.038	267686.59375
983.238	244940.453125
1045.086	258950.390625
1105.638	242494.96875
1167.438	231136.28125
1229.238	235535.9375
1290.438	249242.203125
1351.038	255016.15625
1411.638	244984.1875
1472.838	229825.75
1534.638	222566.21875
1596.234	194775.90625
1649.22	165284.5
1703.22	170097.890625
1758.42	156558.875
1813.014	182272.375
1867.632	179159.015625
1922.232	179651.1875
1976.22	182706.296875
2030.814	169356.5625
2085.414	175052.8125
2140.614	183037.5625
2195.814	199135.46875
2251.014	201162.234375
2306.22	220949.234375
2361.42	199431.328125
2417.214	179150.109375
2472.414	203601.453125
2528.814	219285.828125
2584.614	205429.53125
2641.014	195058.109375
2696.814	204664.59375
2753.214	214759.4375
2809.614	212878.359375
2865.42	208793.390625
2921.82	209261.78125
2977.62	225458.6875
3034.014	234333.875
3089.82	219021.125
3146.214	203117.84375
3202.014	201485.03125
3257.814	214021.1875
3313.014	216183.453125
3368.214	196506.703125
3424.02	201239.953125
3478.02	185933.71875
3532.614	177632.078125
3586.014	166269
3638.814	94816.3671875
3694.998	154939.390625
3749.244	134730.609375
3806.232	239988.640625
3863.838	377221.90625
3920.838	539864.9375
3977.838	646559.125
4034.238	720984.4375
4091.238	738531.25
4147.644	510336.15625
4204.656	420944.5625
4261.638	334919.53125
4318.638	298240.59375
4376.244	140257.0625
4433.838	185925.953125
4492.038	183940.90625
4551.438	203577.171875
4611.438	239308.515625
4672.038	262215.84375
4733.238	257477.71875
4794.438	252319.234375
4856.838	185692.28125
4919.238	162397.015625
4984.05	170898.46875
5047.632	169295.46875
5112.438	147379.390625
5177.238	180903.515625
5242.638	150037.4375
5308.038	125509.65625
5375.238	158122.125
5440.638	136641.09375
5506.644	153183.46875
5573.034	128682.3125
5631.414	123482.15625
5690.22	131056.4609375
5750.214	132489.21875
5809.614	136667.203125
5870.214	123579.546875
5930.814	128532.9140625
5992.02	127512.6484375
6052.614	131663.78125
6115.014	141426.8125
6176.814	142231.84375
6239.82	137065.0625
6302.214	127886.2734375
6365.82	144737
6429.414	143613.203125
6493.02	181069.765625
6554.814	175365.28125
6617.214	168371.890625
6680.22	169698.796875
6742.62	160744.96875
6806.22	177273.65625
6869.814	153385.71875
6934.02	153290.90625
6998.22	152038.953125
7063.014	145681.140625
7128.414	151595.328125
7193.82	147853.453125
7259.22	154377.59375
7325.214	143940.4375
7391.214	151359.515625
7456.62	169067.796875
7522.614	160798.953125
7587.456	172743.5625
7654.614	176849.234375
7718.22	168703.65625
7784.22	165710.484375
7850.214	172678.625
7916.214	164086.203125
7982.22	168238.03125
8048.82	165894.640625
8115.414	155068.25
8182.62	168391.46875
8248.62	157790.875
8315.814	177628.640625
8381.814	176780.21875
8447.82	166837.296875
8515.02	180903.265625
8581.614	176560.4375
8648.814	156504.46875
8717.22	166112.375
8786.214	177088.859375
8853.414	187287.1875
8918.214	176721.3125
8986.614	167027.953125
9055.614	166203.203125
9124.614	174519.890625
9193.02	164717.453125
9263.214	174989.78125
9331.62	184160.65625
9400.014	161689.765625
9469.614	177417.453125
9539.22	157947.828125
9610.014	189958.75
9678.414	160097.359375
9749.22	156366.40625
9820.62	161496.640625
9891.414	167848.421875
9962.238	183552.4375
10031.214	162077.90625
10102.614	157437.5
10175.214	147662.78125
10246.632	182714.3125
10315.02	164666.40625
10385.814	194870.390625
10453.62	162698.578125
10524.42	180755.796875
10594.614	160741.734375
10666.014	173676.578125
10735.614	165371.453125
10807.068	169379.890625
10877.814	167490.390625
10949.214	163199.03125
11020.014	163344.921875
11091.42	159848.4375
11163.414	169128.828125
11235.42	170664.25
11306.82	176639.046875
11378.214	184276.375
11449.014	180125.453125
11521.02	158530.890625
11595.42	171957.140625
11667.414	177166.46875
11741.214	176759.078125
11813.82	183929.109375
11885.814	178959.796875
11959.014	173811.59375
12031.014	173996.671875
12104.214	163213.390625
12178.014	161775.3125
12251.214	169248.25
12325.122	164224.9375
12399.414	158485.578125
12474.414	161320
12550.02	143855.484375
12628.62	155517.5
12703.014	149109.625
12778.014	152273.546875
12853.62	157750.453125
12928.62	158000.828125
13003.614	154756.4375
13078.632	153366.65625
13154.214	141085.21875
13230.42	151865.34375
13306.014	164735.671875
13381.62	153872.40625
13457.214	154058.8125
13533.42	150342.90625
13610.226	152336.640625
13685.814	157026.28125
13761.426	160075.328125
13836.42	160088.25
13911.414	162201.46875
13985.214	170030.390625
14059.014	163591.296875
14134.62	159491.421875
14207.214	148195.203125
14282.82	156427.78125
14356.02	170614.40625
14428.62	162264
14502.414	168135.765625
14573.214	158241.828125
14644.614	311311.15625
14714.814	1643032
14780.22	5026426
14836.62	7713492.5
14889.066	125.016578674316
15614.844	8013519
15647.22	8473870
15692.472	6595.8359375
15774.006	207.530410766602
15855.888	250.639068603516
16007.844	7618659
16033.752	916.60009765625
16178.844	6765933
16205.058	210.455200195312
17003.244	5648367.5
17031.072	1105.095703125
17195.724	270.608703613281
17878.65	4251038
17907.678	55.9482116699219
18705.444	3962968
18734.682	2188.84887695312
18958.05	3479707.25
18994.014	3755843.5
19045.746	499.4765625
19284.444	3340911.25
19321.068	3584733
19378.02	3586706
19435.62	3614395.75
19492.62	3634066.25
19549.614	3220096.5
19607.82	3345765.75
19665.42	3390793
19722.414	3440651.25
19780.614	3327843.25
19838.226	3466811.25
19896.414	3295274.25
19954.026	3198178.25
20011.014	3335721.25
20068.62	3397961.5
20126.274	3046365.25
20184.42	3175715.75
20242.014	3197660.75
20300.214	3060246
20358.42	3044543
20416.62	3032411.25
20474.814	2954528.5
20533.014	2952524.25
20585.532	134.792419433594
21383.244	2332879.5
21422.814	2588471
21482.214	2507175.25
21542.214	2673717.75
21601.632	2526472
21661.614	2549317
21721.014	2508039.5
21781.014	2441225.5
21840.414	2474552.25
21900.414	2458046
21960.414	2407299.25
22021.014	2257574.25
22081.014	2283492.25
22141.62	2353826
22201.632	2259417.5
22262.214	2327756.25
22322.814	2353343.75
22382.814	2332086.75
22442.82	2291059.25
22503.414	2161061
22564.014	2204675.75
22624.62	2340064
22684.632	2230370.75
22744.614	2217822.75
22805.214	2202287.25
22865.814	2128246.75
22927.014	2179911.5
22987.62	2230131.75
23048.214	2179869.75
23108.814	2170498.5
23170.02	2110942.25
23231.22	2324677.5
23291.814	1861522
23353.614	2102297.75
23408.184	799.219909667969
23709.444	1870256.5
23750.22	2152460
23810.214	2107317.5
23871.414	1954465.375
23932.62	2139218.75
23993.214	2037374.875
24053.814	2049952.75
24115.014	2062695.75
24175.62	2047509.125
24236.82	2116122
24297.414	2007860.25
24358.614	1938154.125
24419.82	2146374
24482.22	1931969.125
24543.414	2141407
24604.014	1967154.875
24665.82	2034987.125
24727.026	1926916.5
24788.82	2127376
24849.414	2074305.625
24910.62	2103938.25
24971.232	2084919.125
25032.414	2117672.25
25093.614	2051294.75
25154.232	1896604.125
25217.22	2107673.25
25278.414	2117870
25339.014	2114967.5
25400.22	2027734.375
25462.032	2127408
25522.614	2146569
25583.814	2133847.25
25645.026	2114774.25
25706.22	2086974.5
25768.02	2014968.875
25828.62	1991688.125
25889.82	2146866
25950.42	1984800.875
26012.82	2011253.5
26073.414	1961512.25
26135.814	1987899
26196.414	2032761.625
26258.814	2042271
26319.414	1933754.875
26380.614	2051629.625
26443.014	1989304.625
26504.814	1889413.625
26567.214	1982653.625
26629.014	1960129.625
26691.414	1954778.375
26752.626	1890902.5
26815.614	1885723.625
26878.02	1922539.875
26940.414	1870401.5
27002.214	1877762.625
27064.614	1845938.5
27127.014	1871286.25
27189.42	1826364.125
27251.82	1811751.625
27314.22	1775347.875
27376.614	1767826.5
27439.62	1739593.125
27502.014	1752228.5
27565.62	1677465.375
27628.014	1688446.375
27691.62	1735232.125
27754.02	1663298
27817.626	1706986.5
27880.614	1709528.5
27943.62	1694749.75
28007.22	1680583
28070.214	1614433.25
28133.814	1650372.5
28197.414	1581582.75
28260.42	1520907.5
28324.614	1654046.25
28387.614	1600962.25
28451.22	1497006.375
28515.414	1568848.125
28579.014	1344166.75
28645.014	1585125.5
28708.62	1605545.75
28771.62	1570952.625
28835.814	1554502.375
28898.814	1775365.375
28963.02	1497707.375
29027.82	1526399.875
29091.414	1642573.125
29153.814	1511133
29218.014	1539391.625
29281.62	1444002.375
29345.814	1416285
29410.014	1474272
29474.82	1471048.75
29537.826	1450499
29601.414	1161252.75
29666.82	1223487.5
29734.614	1354218.625
29797.014	1210135.5
29863.014	1171066.25
29928.414	1199733.375
29994.414	1300321.625
30058.632	1209515.25
30124.614	1342469.75
30188.214	1322508
30252.414	1170174
30318.414	1356875.125
30382.056	1272303.5
30446.214	1262579.625
30511.02	1244127.375
30577.014	1201632.375
30640.62	1095435.25
30707.214	1188285.25
30772.62	1160627.875
30838.02	1284454
30902.214	1235437.25
30966.414	1259334.125
31031.814	1099832.25
31097.214	1151749.75
31162.614	1144520
31227.42	1082686.625
31295.82	1156348
31359.414	1093273.75
31426.014	1090502.375
31491.42	1131258.75
31556.22	1155650.125
31621.614	1215361.25
31685.814	1104148.625
31750.62	1073694.375
31816.62	1097214.375
31881.414	982094.875
31948.62	1105407.125
32013.414	1127382.125
32080.02	1003835.5625
32145.414	946711.8125
32213.214	1097430.5
32278.62	954486.375
32345.82	1040496.3125
32411.22	996581.125
32477.814	984922.375
32544.426	813644.125
32614.62	996866.3125
32681.214	1034579.6875
32746.62	926390
32813.82	965252.125
32881.014	1049362.125
32945.814	967206.3125
33012.426	1023234.25
33078.42	971612.75
33144.414	916990.0625
33212.214	931673.25
33278.22	899477.5625
33346.02	966241.5
33412.014	1044996.8125
33476.814	961525.8125
33543.42	1013431.625
33608.214	924780.5
33675.414	1012572.6875
33740.814	951513.125
33807.42	931332.1875
33873.42	887212.25
33941.214	980873.375
34007.214	1053910
34073.82	977017.8125
34139.214	951020.375
34205.814	944255.0625
34272.42	915547.1875
34340.22	822131.125
34409.22	911446.8125
34474.62	893922.3125
34541.22	905443.9375
34608.432	874079.3125
34675.014	926705.125
34741.614	849671.375
34808.82	879856.0625
34875.414	780823.6875
34943.814	884138.8125
35011.02	978607.375
35077.62	833453.5625
35146.026	888647.4375
35210.82	848617.4375
35277.42	803215.5
35344.014	827713.125
35410.614	812421.3125
35477.214	779283.3125
35544.42	772363.625
35611.02	690343.8125
35680.614	680373.5
35748.42	796820.5625
35815.614	745880.5625
35882.232	755855.5625
35949.414	733181.0625
36017.214	741954
36084.42	764280.5625
36150.414	825475.375
36217.068	583649.125
36287.82	736164.8125
36355.02	761937.3125
36421.614	695064.375
36488.814	671601.25
36556.62	652543.125
36625.014	570483.3125
36696.414	626486.6875
36763.614	612661.25
36832.632	633525.125
36901.02	588408.8125
36970.614	662182.3125
37039.62	667021.8125
37106.214	611523.8125
37174.614	643733.4375
37241.814	664062.4375
37309.02	572402.5
37378.62	646210.875
37446.414	589101.5625
37514.22	704364.0625
37581.414	621434.8125
37649.22	610203.5625
37717.014	673809.6875
37783.614	671111.6875
37850.82	679856.5
37919.22	794015.3125
37985.814	777520.1875
38053.614	894451.9375
38120.22	933346.375
38187.42	1039000.625
38255.814	1122673.75
38320.632	1241356.5
38386.62	1289736.75
38452.014	1401827.875
38516.814	1305106.125
38582.22	1535037
38645.22	1451984.75
38710.014	1437947.25
38774.814	1693865
38838.42	1744585.75
38902.014	1869810.25
38963.214	1904955.25
39025.62	1909279.875
39081.606	569.45849609375
39708.444	1162940.125
39754.62	1019215.875
39821.214	1080353.25
39887.22	957515.9375
39953.82	936747.0625
40021.614	1018388.5
40087.02	1013438.5
40153.02	780686.5
40222.614	820195.125
40289.82	733900
40359.42	864032.25
40425.42	817616.375
40492.014	673911.8125
40561.614	708206.4375
40629.414	725690.875
40696.62	622897.125
40766.814	662237.1875
40834.614	618811.3125
40903.068	644979.0625
40971.42	582224.25
41040.414	599704.5
41111.814	552384.5
41182.026	605550
41251.614	595334.25
41319.414	582811.75
41389.014	566199.875
41459.214	559663.0625
41530.014	611701.125
41600.22	588299.375
41669.226	565128.25
41738.814	621454.25
41808.414	631257.4375
41877.42	628877.125
41947.614	578004.8125
42019.02	721073.1875
42088.62	705730.1875
42158.82	686415.875
42230.22	766578.625
42299.214	763281.625
42368.814	768640.375
42437.82	785951
42506.82	800928.75
42577.014	800390
42644.22	941962.875
42710.832	914578.0625
42778.614	1004623.4375
42845.814	990401.75
42913.02	806873.375
42982.62	976492.8125
43050.414	929363.6875
43117.02	835869.75
43186.032	889747.8125
43253.214	911289.0625
43321.614	901305.375
43389.414	837483.4375
43458.42	897008.875
43525.614	865701.875
43593.414	811828.8125
43661.232	773533.1875
43732.02	800450.5
43799.82	766955.4375
43868.814	751544.25
43937.838	753116.8125
44008.026	753155.9375
44075.214	734462
44143.62	684302.4375
44214.432	683030
44284.014	659646.6875
44354.82	731699.1875
44423.82	651074.625
44494.02	687580.9375
44564.814	598034.5625
44636.814	699254.75
44706.42	636455.0625
44774.814	627747
44844.414	592781.8125
44914.02	605286
44983.02	564067.25
45053.814	518174.8125
45125.814	583691.0625
45194.82	539597.5
45265.014	390914.65625
45342.414	541555.8125
45413.82	449238.6875
45486.414	588386.9375
45554.814	507140.46875
45626.22	519324.03125
45697.62	525770
45768.42	433783.375
45842.214	433240.40625
45914.22	458159.25
45985.62	477769.4375
46058.22	442806.15625
46128.414	542015.375
46196.82	467190.90625
46266.42	404303.3125
46339.014	443001.65625
46409.22	428848.5625
46480.62	405148.9375
46552.614	421881.6875
46624.614	443071.5
46695.42	379126.9375
46768.068	395090.78125
46841.214	395974.65625
46913.214	429561.4375
46984.032	430122.65625
47054.814	434413.625
47125.014	437993.15625
47195.214	460522.90625
