MS:1000894_[sec]	MS:1000040	MS:1000041	S/N	peak_count
246.6148	726.518920898438	2	1.73346	32
250.2478	604.050598144531	2	1.19691	19
251.3944	796.078186035156	2	1.34786	23
252.5102	508.035736083984	2	1.22052	20
256.0201	700.064331054688	2	1.25706	20
257.1356	588.075378417969	2	1.33941	14
258.5145	492.060668945313	2	1.71124	30
261.3061	500.049407958984	2	1.23167	29
262.1739	684.090026855469	2	8.39659	55
265.4016	780.101684570313	2	1.56179	22
268.4195	704.063232421875	2	1.25554	21
272.3204	604.049621582031	2	1.48848	18
274.2106	692.077819824219	2	2.59658	28
275.4189	508.036346435547	2	1.11447	12
276.6071	796.076416015625	2	1.20062	22
277.9458	608.046752929688	2	1.5543	38
281.8235	700.063781738281	2	1.15734	17
283.2061	588.074462890625	2	1.26493	20
285.9377	492.060394287109	2	1.98837	35
288.8019	684.088500976563	2	11.9085	58
297.957	500.0494	2	1.93879	25
311.2897	684.088439941406	2	11.4528	63
316.9521	492.0612	2	2.59368	44
320.4679	500.049591064453	2	1.62958	20
322.0966	604.0494	2	3.4703	33
365.9764	700.062133789063	2	1.19077	30
379.5464	604.049865722656	2	1.56524	26
386.8517	684.0859375	2	14.3592	55
392.8701	492.061737060547	2	2.05074	45
403.997	796.076965332031	2	1.60557	28
411.3212	508.035736083984	2	1.66683	17
417.0096	692.0771484375	2	1.26427	33
425.277	596.063781738281	2	2.39731	20
458.8096	508.036773681641	2	2.30032	29
480.6764	500.049713134766	2	1.41694	17
502.8931	596.064392089844	2	1.56142	28
508.135	404.035247802734	2	4.73186	51
518.8843	500.050506591797	2	1.20604	17
522.4516	604.051086425781	2	1.64591	25
534.1524	404.035217285156	2	5.09459	61
559.9722	596.065002441406	2	1.24205	16
604.6461	500.050048828125	2	2.01895	23
658.923799999998	500.050109863281	2	3.58473	25
685.285699999998	500.049835205078	2	1.18799	30
688.500700000002	692.076538085938	2	1.36344	26
691.5792	508.035583496094	2	1.57356	17
694.688800000002	588.075622558594	2	1.40757	22
701.783500000002	604.050231933594	2	1.76983	29
703.955800000002	492.061096191406	2	1.73318	33
708.842899999998	700.062927246094	2	1.24574	34
711.3681	588.075927734375	2	1.2263	32
714.182599999998	508.036499023438	2	1.9984	22
716.522899999998	684.089599609375	2	17.4757	57
724.708399999998	596.064636230469	2	1.76108	23
726.946399999998	492.061492919922	2	2.49726	57
745.648900000002	404.035491943359	2	3.25666	49
