MS:1000894_[sec]	MS:1000285	S/N	peak_count
0.4711	876374	46.9137	282
2.8668	1334217	40.1489	284
4.8068	2253305	30.0669	253
6.08680000000002	1333158	2.1474	4049
8.90680000000002	15793342	2.23437	2348
9.80680000000002	16122028	2.20058	2446
10.7268	19248350	2.20816	3056
11.6468	18379376	2.20922	3452
12.5968	19710552	2.22404	3612
13.5268	19495850	2.20496	3773
14.4768	21009040	2.19704	3930
15.4168	21712380	2.18632	4038
16.3568	22737160	2.18371	3990
17.2969	26804946	2.16465	4215
18.2268	17562412	2.21439	3988
19.1868	21302640	2.22419	3602
20.1268	21028228	2.16621	3683
21.0577	22513022	2.15008	3756
21.9768	22783582	2.20541	3704
22.9068	22475654	2.13496	3603
23.8268	22541990	2.15438	3517
24.7467	22924864	2.17152	3656
25.6768	21715116	2.1325	3460
26.5968	21050654	2.13387	3304
27.5168	20317566	2.15231	3215
28.4568	20704548	2.16396	3316
29.3568	21150244	2.13656	3384
30.2768	18118710	2.11107	2960
31.2068	17077496	2.11466	2925
32.1268	17319244	2.16706	2976
33.0468	15164533	2.12008	2778
33.9868	14573228	2.0911	2754
34.9168	13278112	2.10256	2744
35.8567	12666024	2.1343	2575
36.8067	11428230	2.17038	2429
37.7568	11822828	2.10943	2424
38.6968	11500423	2.05471	2544
39.6468	11235795	2.06576	2515
40.5968	11217408	2.0048	2593
41.5568	12113892	1.97734	2801
42.5268	11676766	1.96309	2633
43.4568	11220217	1.98523	2745
44.3676	11338259	1.97199	2670
45.3668	11918867	1.96947	2797
46.3169	12209495	1.95903	2761
47.2668	11317406	1.96851	2654
48.2268	12128190	1.97262	2779
49.1668	11502388	1.97133	2664
50.1269	11139156	1.99031	2461
51.0768	11793547	2.00823	2518
52.0168	12562340	2.00704	2608
52.9467	11989501	2.00544	2504
53.8868	11939793	1.99188	2310
54.8168	12841946	1.98801	2302
55.7368	13889295	2.01618	2226
56.6468	15323989	1.99692	2248
57.5468	15970103	2.02388	2087
58.5732	19634490	2.05185	1893
59.4272	20624120	2.02142	1623
60.3874000000002	22987560	2.01275	1576
61.3471000000002	21959282	2.07212	1358
62.3170999999998	23638170	2.1061	1293
63.2671000000002	23705928	2.08286	1194
64.2172999999998	23649644	2.10401	1124
65.1670999999998	22681506	2.09394	1003
66.1171000000002	21640198	2.06905	929
67.0572	19220946	2.0677	896
68.0170999999998	18088256	1.99486	947
68.9575000000002	14716152	2.02704	894
69.9171	12320142	2.03888	922
70.8871000000002	11100622	1.97722	1061
71.8570999999998	8340629	1.92762	1016
72.8470999999998	6805382	1.88261	999
73.8370999999998	6452615	1.92155	1051
74.8371	5154784	1.92324	992
75.8572000000002	4739266	1.91946	1052
76.8871999999998	4419722	1.94104	984
77.9170999999998	3959154	1.91615	1024
78.9670999999998	3776611	1.98841	971
80.0172	3406406	1.90566	936
81.0670999999998	3082471	1.99593	843
82.1371000000002	3207568	1.926	958
83.2071	3202034	1.99071	992
84.2773999999998	3169798	1.94017	1013
85.3471000000002	3213383	1.95577	968
86.3779000000002	2866256	1.92033	1001
87.5071000000002	3360905	2.00292	971
88.5871000000002	3495478	1.93256	1037
89.6470999999998	3735317	1.88403	1128
90.7171000000002	3364863	1.99029	1028
91.8136999999998	3209798	1.94342	965
92.7468	2933626	1.92854	937
93.7168000000002	2889624	2.00068	939
94.6867999999998	2687787	1.96671	880
95.6668000000002	2686632	1.98846	953
96.6468	2600245	2.04059	899
97.6368	2395259	2.10252	887
98.6269999999998	1947195	2.14478	761
99.6468	1983977	2.1102	847
100.6667	1747610	2.17347	775
101.6969	1748983	2.30192	763
102.7468	1744957	2.26833	778
103.7768	1654800	2.29681	748
104.8168	1540058	2.29322	723
105.8768	1413375	2.38929	667
106.9268	1673964	2.35419	818
107.9968	1510329	2.41283	723
109.0568	1477212	2.3478	752
110.1369	1485377	2.44234	743
111.2068	1453551	2.43778	731
112.2867	1441962	2.37393	729
113.3667	1389102	2.47227	702
114.4568	1406779	2.52189	692
115.5269	1452571	2.49958	757
116.6367	1405294	2.59002	698
117.6968	1492850	2.51484	732
118.7768	1354299	2.61563	640
119.8468	1415853	2.57452	732
120.9368	1461007	2.5953	738
122.0169	1249524	2.73669	612
123.1068	1275722	2.68982	649
124.1968	1362307	2.86834	665
125.2968	1291504	2.79041	622
126.3778	1335631	2.73207	651
127.4768	1266307	2.86117	640
128.6068	1215601	2.97319	595
129.6968	1198978	2.80607	666
130.8271	1300096	2.86141	659
131.9368	1183756	2.89266	613
133.0568	1262284	2.9356	656
134.1768	1262419	2.88356	683
135.3071	1251511	3.0299	647
136.3777	1121388	3.13054	539
137.5368	1159833	2.95129	620
138.6668	1217300	3.00508	660
139.787	1112957	3.13382	577
