MS:1000894_[sec]	MS:1000040	MS:1000041	S/N	peak_count
2279.7932	456.775634765625	2	7.99631	257
2302.0279	424.75439453125	2	22.1392	213
2322.5029	424.755004882813	2	20.9937	176
2347.969	599.330444335938	3	8.41122	296
2369.9364	604.958862304688	3	8.73932	400
2385.4321	501.976379394531	3	14.3444	290
2391.7985	604.9603	3	6.46002	289
2432.9521	402.916687011719	3	9.38014	296
2534.1753	434.779968261719	2	14.3187	305
2566.5871	526.364990234375	2	8.96943	153
2585.2056	507.267333984375	2	8.84655	209
2599.0524	526.361999511719	2	10.3209	147
2609.1196	556.920654296875	3	12.3394	322
2620.3808	440.267517089844	3	16.1647	208
2644.9888	507.797454833984	2	12.7595	184
2657.1503	521.5266	4	12.3862	329
2658.3974	434.780364990234	2	17.163	164
2663.0252	695.030883789063	3	8.87946	384
2670.1786	593.999633789063	3	12.5774	343
2677.5195	521.5263671875	4	11.6412	297
2679.307	434.779846191406	2	16.3898	169
2698.3955	434.779998779297	2	17.8354	130
2702.0461	524.3225	2	9.07099	131
2718.821	434.780090332031	2	15.7718	152
2721.3286	526.36181640625	2	9.31497	132
2731.5393	622.840209960938	2	5.52143	160
2754.2528	438.9804	3	11.817	258
2770.0648	564.297729492188	3	12.8776	228
2772.3295	845.939270019531	2	8.38561	151
2787.6043	454.943237304688	3	10.2523	310
2798.3067	561.321960449219	3	12.39	368
2803.6667	526.314331054688	2	8.79595	262
2814.5994	510.641235351563	3	12.3788	356
2819.7333	421.238952636719	4	13.7762	310
2824.473	507.776275634766	2	7.50882	179
2840.2867	510.642272949219	3	10.3648	286
2857.1281	576.367614746094	2	6.69585	180
2873.9234	710.1468	4	12.6283	262
2877.8697	448.820678710938	2	13.9627	175
2892.9091	500.781127929688	2	8.23212	212
2908.2419	441.787994384766	2	13.8933	195
2918.4555	564.301513671875	2	15.5076	148
2933.1711	441.787689208984	2	14.2445	218
2938.7085	425.260162353516	3	17.2136	231
2940.3374	554.005249023438	3	13.2645	334
2942.4076	545.813293457031	2	4.62307	199
2955.1304	576.372314453125	2	9.27987	173
2969.4293	570.81201171875	2	10.8126	256
2970.7123	532.3171	3	9.55229	285
2980.211	484.789001464844	2	12.9574	197
2999.0873	704.897399902344	2	8.18548	277
3005.8741	484.788543701172	2	13.591	197
3014.034	470.265655517578	3	8.52464	385
3021.0481	704.8984375	2	6.89433	198
3032.4907	528.338439941406	2	8.15537	185
3047.3171	522.813293457031	2	15.7308	207
3052.2413	558.313781738281	2	9.23945	256
3078.7018	441.787872314453	2	12.7326	182
3087.8463	419.261779785156	3	13.2385	269
3092.5354	605.6669921875	3	8.41603	289
3101.593	441.7880859375	2	13.3527	157
3106.9936	514.978149414063	3	11.6821	416
3118.578	651.363342285156	2	8.59725	289
3125.3319	475.0635	5	9.87203	363
3131.6817	505.309814453125	3	13.5745	289
3148.0338	517.526916503906	4	13.8877	302
3149.2251	689.701049804688	3	10.9687	390
3153.0352	505.309417724609	3	13.0087	274
3159.6246	404.257781982422	2	17.9205	151
3166.8128	620.345886230469	2	11.4806	293
3170.2516	517.5276	4	13.2954	286
3171.1561	689.700439453125	3	11.011	344
3175.986	417.920562744141	3	15.7744	196
3182.2104	413.898376464844	3	15.487	273
3187.8282	620.345947265625	2	11.0181	226
3189.1575	473.210388183594	2	12.007	248
3193.3977	405.758911132813	2	10.6455	243
3208.0571	473.210205078125	2	11.8842	256
3215.9733	405.758544921875	2	12.964	221
3220.4579	483.281951904297	3	10.0868	274
3233.6762	517.618286132813	3	11.0657	324
3237.5644	405.758880615234	2	12.3514	185
3242.1766	513.0231	4	9.36464	371
3249.545	598.816589355469	2	10.2622	285
3265.3253	557.332885742188	2	5.97565	185
3279.1665	598.815979003906	2	9.84649	218
3292.8923	442.942840576172	3	13.9098	210
3294.8376	486.289672851563	3	12.6416	372
3303.0657	485.309295654297	3	13.0933	377
3307.4172	509.976959228516	3	11.2556	293
3318.6578	418.7677	2	7.60183	243
3330.1413	515.293090820313	2	9.56414	246
3333.2032	439.603179931641	3	15.0056	251
3334.2283	506.961975097656	3	11.83	315
3337.0368	558.808959960938	2	9.44566	287
3341.0735	537.851257324219	2	10.4894	258
3342.4831	475.294189453125	3	12.4924	259
3344.6275	525.335388183594	2	12.7317	228
3346.3641	466.813537597656	2	12.3483	250
3347.7247	419.774810791016	2	13.9272	198
3349.1525	573.861694335938	2	11.3994	255
3351.9856	491.796112060547	2	13.0225	232
3361.4324	470.319396972656	3	13.3524	281
3362.3086	451.263244628906	2	10.5074	221
3368.4166	419.775177001953	2	11.191	202
3371.6298	587.033081054688	3	13.355	319
3375.1617	576.347534179688	2	10.8346	266
3379.494	423.27783203125	2	7.19303	204
3384.6343	470.319732666016	3	12.2481	250
3385.4461	409.790466308594	2	11.6517	239
3391.6861	495.638427734375	3	11.9802	259
3396.0043	576.346374511719	2	9.59699	236
3399.3312	491.795928955078	2	12.4633	174
3404.878	409.790740966797	2	9.93447	209
3409.1188	463.292022705078	2	13.581	224
3410.4441	675.881530761719	2	9.21458	278
3414.1516	581.338134765625	3	12.6813	300
3418.3417	406.26806640625	3	10.2924	211
3430.8897	463.292663574219	2	10.7577	197
3432.8691	562.816711425781	2	10.7445	187
3433.7729	550.031494140625	3	14.0023	239
3434.4506	644.380798339844	2	8.07792	214
3436.3083	490.651397705078	3	10.5918	256
3439.5991	487.963226318359	3	12.7744	221
3441.0957	419.776062011719	2	10.8945	199
3444.8567	438.273101806641	2	12.7643	196
3448.89	534.341674804688	3	14.2495	205
3450.6386	629.0825	4	8.60169	428
3453.4316	562.8165	2	9.78773	193
3461.411	646.708068847656	3	13.2493	288
3465.8308	438.272918701172	2	12.0612	170
3467.9946	424.767303466797	2	10.807	222
3478.9362	525.337646484375	2	9.15377	256
3487.7221	658.385620117188	2	10.691	174
3488.8654	409.790740966797	2	11.4813	215
3490.5489	422.593383789063	3	13.0926	280
3493.8371	483.271881103516	3	10.8943	284
3498.4821	414.931732177734	3	13.7274	189
3500.2533	501.833679199219	2	11.3126	237
3505.8899	459.7900390625	2	19.0368	193
3513.0294	658.385620117188	2	9.48097	152
3514.2075	422.593688964844	3	10.725	271
3517.5593	566.673034667969	3	11.7994	250
3524.1588	576.999816894531	3	8.67303	358
3525.9837	501.833221435547	2	9.63286	270
3528.8825	532.629821777344	3	9.85734	321
3529.9117	570.839111328125	2	11.2743	252
3531.2586	626.341369628906	2	13.3035	221
3533.4524	419.234283447266	3	11.9898	304
3536.6227	435.867523193359	3	5.97177	366
3546.0946	576.9987	3	7.84657	310
3551.9077	424.766052246094	2	15.3503	189
3560.2174	516.347595214844	2	11.2996	217
3561.5084	417.249328613281	3	13.5183	273
3563.9149	453.908172607422	3	10.8669	330
3571.1435	597.82080078125	2	9.97924	290
3573.1004	680.915710449219	2	9.34836	234
3578.1732	452.316864013672	2	10.7303	241
3583.4223	426.782867431641	2	10.547	248
3591.7846	597.820678710938	2	9.47366	260
3596.8934	553.835510253906	2	8.89003	303
3604.4435	426.781829833984	2	11.64	203
3607.4229	492.781219482422	2	10.7111	336
3615.5314	587.865295410156	2	10.684	273
3619.8606	628.0366	3	13.2428	308
3622.6979	566.361572265625	2	10.8484	283
3625.9893	569.689636230469	3	11.5779	281
3631.36	492.781524658203	2	10.5021	249
3634.5137	540.801635742188	2	8.31803	239
3642.4878	587.864990234375	2	10.1354	279
3643.8305	628.03466796875	3	12.8094	307
3646.9418	591.353149414063	2	7.40155	215
3655.0759	489.658966064453	3	13.9833	249
3655.9487	696.900573730469	2	10.8116	251
3657.1405	527.805114746094	2	11.5632	226
3659.3169	624.871276855469	2	8.37478	222
3665.2558	739.361572265625	2	3.741	63
3674.3058	512.315612792969	2	6.366	182
3685.2495	586.67041015625	3	10.0517	367
3687.4556	494.301818847656	3	12.3963	264
3689.6809	476.797546386719	2	9.34085	195
3692.856	514.796691894531	2	5.10575	217
3705.3636	500.797485351563	2	13.4451	224
3706.1531	533.640502929688	3	9.69437	300
3708.2182	600.337219238281	3	11.4677	319
3710.6879	643.364562988281	2	10.8624	414
3717.5034	518.317932128906	2	11.1969	233
3719.7729	480.297271728516	3	16.2327	338
3721.6511	526.314270019531	2	9.55097	291
3725.3958	587.865600585938	2	6.5825	301
3735.6392	643.365173339844	2	9.92866	235
3738.1758	480.297943115234	3	13.7973	255
3739.257	487.675354003906	3	12.9292	249
3740.5581	607.335693359375	2	10.8654	230
3742.1075	719.943786621094	2	5.87874	157
3751.6138	550.313110351563	2	6.18	246
3765.1532	483.805206298828	2	11.3225	235
3767.8438	579.342041015625	3	6.59488	279
3774.9288	540.328796386719	2	13.1141	252
3776.3049	452.753326416016	2	14.5279	350
3777.9651	511.819885253906	2	10.5029	230
3780.0401	458.316497802734	2	13.2006	272
3782.565	731.935852050781	2	9.03152	241
3789.2525	477.308074951172	2	12.1202	217
3790.821	712.0732	3	9.99339	342
3795.0176	509.338531494141	2	10.0152	249
3798.7649	458.316986083984	2	10.3527	208
3801.508	452.753753662109	2	14.3546	304
3805.0349	470.297485351563	2	9.49787	305
3810.835	557.320739746094	2	5.2821	168
3823.8484	550.315673828125	2	9.6886	354
3826.3787	497.804412841797	2	8.61114	234
3830.8508	614.390991210938	2	6.81923	236
3837.6325	527.8174	4	9.21489	394
3838.7875	590.85693359375	2	7.90604	232
3843.9689	404.229339599609	2	6.34061	202
3849.1868	550.315795898438	2	9.87365	241
3852.0804	662.388366699219	2	9.33065	294
3857.3299	675.396301269531	2	7.03249	235
3867.2718	584.830139160156	2	10.2854	429
3881.1373	621.363342285156	2	11.5294	246
3882.7622	584.828796386719	2	9.51878	373
3884.5665	511.819000244141	2	11.1076	242
3886.5675	570.837341308594	2	7.88609	271
3889.6111	473.820251464844	2	10.9722	238
3893.132	401.261352539063	2	4.91139	150
3896.624	678.420288085938	2	7.76906	205
3902.4657	599.340759277344	2	8.88474	282
3909.6113	599.340515136719	2	7.95198	204
3916.6421	401.2635	2	5.94586	234
3930.2988	583.687316894531	3	13.1268	264
3931.9007	544.360534667969	2	11.834	220
3933.0106	698.397033691406	2	7.50054	204
3937.8749	562.344604492188	2	8.82628	181
3947.9693	732.412231445313	2	9.74784	215
3951.3858	637.879943847656	2	10.9586	235
3952.3274	612.347961425781	2	12.3456	217
3952.8515	492.310821533203	2	15.4821	100
3954.9986	566.864013671875	2	18.6614	131
3955.7049	569.340576171875	2	31.1116	96
3956.0926	577.326904296875	2	16.9188	137
3957.4974	448.284942626953	2	12.3919	88
3960.3451	470.297302246094	2	11.7229	89
3962.8717	582.855285644531	2	10.0435	268
3964.5309	425.587829589844	3	12.5245	253
3966.9581	514.324768066406	2	12.1291	91
3970.9455	408.566589355469	3	15.9022	278
3975.0442	558.351745605469	2	20.2858	153
3977.6309	414.761077880859	2	16.4237	53
3978.5693	406.247772216797	2	16.3469	52
3979.2294	423.274536132813	2	15.5735	88
3980.114	788.456604003906	2	8.21107	216
3985.6502	425.751708984375	2	13.7323	245
3987.1226	433.207000732422	2	18.6705	219
3994.0002	523.307067871094	2	5.598	145
4002.0979	414.761199951172	2	11.5268	59
4003.2774	406.247802734375	2	10.2626	60
4004.2707	423.274261474609	2	11.5128	85
4006.7105	546.35009765625	2	7.95054	151
4010.2858	732.410095214844	2	8.56122	195
4017.7681	529.83837890625	2	5.76194	130
4025.6341	732.415588378906	2	6.84143	143
4035.0756	637.8798	2	6.60135	173
4036.5081	523.308837890625	2	4.70591	135
4048.1906	588.877563476563	2	17.8616	122
4048.9124	580.365112304688	2	19.2879	164
4049.2548	591.354919433594	2	27.1199	81
4049.6846	400.244567871094	3	13.421	327
4050.1941	405.215209960938	3	15.6773	247
4050.9083	522.838073730469	2	6.48609	64
4052.5191	514.325073242188	2	11.8652	74
4053.9422	492.311126708984	2	12.8462	83
4055.5701	470.298919677734	2	9.22028	105
4058.5408	475.297607421875	2	8.36433	113
4060.8012	553.831298828125	2	8.17305	119
4064.2201	525.313598632813	2	11.7888	91
4069.4768	667.882446289063	2	12.4617	241
4071.1441	655.855041503906	2	10.1188	271
4074.5275	558.3516	2	14.8038	117
4078.9555	615.370788574219	2	8.52089	272
4089.9802	436.774658203125	2	20.1368	44
4090.7577	428.261627197266	2	16.1718	48
4091.1417	603.878112792969	2	10.7251	165
4095.4588	566.8658	2	9.31477	109
4101.0759	569.343505859375	2	16.095	132
4108.4007	455.221435546875	2	17.6373	177
4116.0967	746.432556152344	2	9.62771	249
4120.4223	497.957824707031	3	12.0362	318
4122.7432	450.244079589844	2	24.0363	115
4134.723	584.357666015625	2	6.03611	222
4140.887	746.433898925781	2	9.60613	249
4141.9352	497.958343505859	3	12.42	275
4143.2956	515.931274414063	3	7.37089	470
4148.1925	491.9542	3	7.66057	258
4155.6337	584.357055664063	2	5.35466	204
4164.076	575.844848632813	2	9.69902	221
