MS:1000894_[sec]	MS:1000285	S/N	peak_count
0.4575	659770	39.772	249
2.9232	1010813	42.4007	296
5.4333	1233782	3.58165	2069
7.61329999999998	8736890	2.22467	3816
8.72320000000002	19134058	2.24546	3469
9.66319999999998	20537644	2.20847	4097
10.6132	24541624	2.21078	3586
11.5232	18215094	2.18401	3715
12.4835	24657264	2.20974	4008
13.4033	22704758	2.21476	4434
14.3532	22895500	2.2203	4661
15.3132	29663684	2.18231	4534
16.2332	28181684	2.18144	4924
17.1732	26890882	2.20942	5006
18.1232	26664244	2.19825	5293
19.0732	32051002	2.18453	5025
20.0039	32554930	2.20805	4952
20.9333	32106020	2.18989	4709
21.8433	35537428	2.14225	5022
22.7632	34204308	2.13363	4717
23.6732	34678868	2.20703	4884
24.5832	30865548	2.1811	4538
25.5032	30805454	2.20536	4765
26.4332	31030658	2.13816	4528
27.3432	30007382	2.11992	4342
28.2632	29065084	2.16568	4493
29.1833	27790838	2.11328	4313
30.1032	25994502	2.14083	3928
31.0232	24805994	2.10333	3920
31.9432	23726022	2.115	3982
32.8632	21184168	2.12455	3539
33.7932	20760202	2.13235	3666
34.7233	17535482	2.10256	3432
35.6632	16741196	2.08355	3296
36.6032	15063150	2.10798	3040
37.5434	15365100	2.0953	2907
38.4832	14755466	2.09841	3113
39.4232	13008258	2.08269	3009
40.3832	12522372	2.10522	2869
41.3432	12100619	2.10179	2887
42.2933	11652501	2.03021	2896
43.2632	11533151	2.01632	2886
44.2232	12378478	2.03099	2974
45.1832	11613572	1.99152	2861
46.1432	12437779	2.0247	2892
47.0932	12578502	2.01701	3042
48.0532	12146742	2.00077	2869
49.0132	11174297	1.98045	2616
49.9633	11866548	2.00736	2847
50.9232	12276195	1.98067	2862
51.8832	12639990	2.01364	2764
52.8232	13020771	2.02283	2744
53.7732	12279544	2.04315	2560
54.7133	13629832	2.08636	2639
55.6432	14675051	2.01096	2754
56.5732	14823099	2.01026	2467
57.4832	16514982	1.95632	2332
58.3835	18685116	2.01795	2302
59.2732	21410000	2.04551	2003
60.2793	21862348	2.06	1580
61.1134999999998	26824774	2.07371	1536
62.0736	25855426	2.05328	1400
63.0235999999998	26536008	2.09137	1280
63.9736000000002	28523326	2.14002	1237
64.9234999999998	27594674	2.04635	1147
65.8735000000002	25874066	2.07219	1063
66.8136	22204882	2.02782	954
67.7635999999998	21829292	2.079	1018
68.7136000000002	19833746	2.08773	1005
69.6634999999998	16488917	2.01084	1090
70.6234999999998	13996876	2.06642	1158
71.5936000000002	11228482	2.01544	1205
72.5734999999998	8762648	1.91611	1191
73.5634999999998	6962906	1.97274	1145
74.5735000000002	5813725	1.99858	1080
75.5935000000002	4886640	1.99903	1036
76.6234999999998	4774815	1.96219	1109
77.6635000000002	4494309	1.99004	1098
78.7035	4312112	1.99239	1151
79.7536000000002	3802207	1.97882	1042
80.8135999999998	3597168	2.08179	999
81.8734999999998	3315455	2.03816	1084
82.9635	3380213	2.13103	1032
84.0334999999998	3100810	2.01741	931
85.1035999999998	3161785	2.10779	966
86.1835000000002	3184467	2.02002	1001
87.2635000000002	3295995	2.0536	1058
88.3536	3546079	2.01555	1111
89.4334999999998	3655528	2.02389	1129
90.5134999999998	3650559	2.05289	1169
91.62	3274100	2.0001	1069
92.5732000000002	2896749	1.98092	1024
93.5632000000002	2846579	2.07304	991
94.5432	2811618	2.05544	1027
95.5332	2549889	2.04869	942
96.5431999999998	2471939	2.10205	968
97.5433000000002	2246655	2.14311	878
98.5632	2229839	2.13696	928
99.5731999999998	1947304	2.32337	857
100.6232	1852740	2.2598	872
101.6732	1956298	2.28844	850
102.7132	1597041	2.30493	769
103.7832	1802382	2.24147	867
104.8332	1646717	2.33436	803
105.8832	1617107	2.29696	777
106.9532	1602252	2.44664	747
108.0132	1477441	2.44901	716
109.0833	1466806	2.52171	682
110.1541	1503816	2.53297	742
111.254	1403788	2.5157	714
112.3132	1416576	2.57	728
113.4032	1506751	2.52434	735
114.4832	1391697	2.61433	703
115.5732	1300927	2.64847	677
116.6732	1431748	2.72269	710
117.7632	1286831	2.76305	678
118.8832	1357005	2.70484	719
119.9932	1286917	2.77061	686
121.1332	1249292	2.59632	692
122.2333	1235300	2.74442	681
123.354	1204038	2.8212	655
124.4832	1198554	2.85286	649
125.5932	1094885	2.86096	608
126.7332	1096017	2.98986	620
127.8733	1164457	2.90558	654
129.014	1105459	2.97189	632
130.1532	1163388	3.15396	618
131.3033	1097812	3.09399	619
132.4432	1166761	3.20524	612
133.5932	1094417	3.23218	604
134.7433	1063968	3.25356	563
135.8832	1128810	3.15831	656
137.0432	1169640	3.17685	674
138.2032	1049813	3.39333	564
139.3633	1044861	3.41594	562
140.5333	1046021	3.32914	606
141.7132	1096990	3.47545	636
142.8932	1097110	3.48443	596
144.0532	990895	3.44351	557
145.2632	1036248	3.53989	577
146.4032	1043622	3.58429	554
147.5832	1052764	3.68459	528
148.7432	1104496	3.52879	594
149.9032	1132737	3.65636	585
151.0741	1018512	3.44722	594
152.2532	1050662	3.56215	591
153.4332	962179	3.63978	535
154.6132	998063	3.75627	547
155.8033	988800	3.93118	504
156.9732	979273	3.80121	531
158.1532	1004728	3.95068	516
159.3432	981876	3.84923	534
160.5232	1020708	4.10449	520
161.7132	1002259	3.99156	520
162.8932	917991	4.04991	458
164.0832	954346	3.94563	520
165.2832	886763	4.20292	471
166.4832	922057	4.09113	499
167.6732	919898	4.36717	464
168.8732	970453	3.87296	540
170.0633	934806	4.18766	492
171.2732	917597	4.21336	472
172.4733	918777	4.41107	461
173.6732	964654	4.45501	504
174.8733	901912	4.41065	467
176.0832	915953	4.39511	476
177.3032	918329	4.48581	459
178.5033	912464	4.43112	476
179.7132	939380	4.51029	493
180.9232	935771	4.21823	515
182.1332	853716	5.12366	391
183.3532	926300	4.53168	483
184.5632	921050	4.55867	477
185.7833	875531	4.55599	464
186.9932	903753	5.08288	424
188.2232	915273	4.68556	492
189.4332	828120	5.20691	391
190.6632	879207	4.68582	452
191.8732	853156	4.99064	419
193.054	874881	4.97011	430
194.3232	882274	4.97397	422
195.5332	817229	5.06696	400
196.7632	846676	5.1799	410
197.9932	872895	4.75006	435
199.2432	853897	5.15256	432
200.4532	805379	5.01141	433
201.7132	721183	5.12435	420
203.0433	905038	5.12785	418
204.2332	795116	5.29052	446
205.5132	822713	5.432	379
206.7335	789546	5.12259	405
207.9732	870102	4.69996	444
209.1932	810811	4.94364	425
210.4533	831414	5.55317	379
211.6832	814976	5.12117	428
212.9332	768540	5.597	360
214.1732	764558	5.88465	340
215.4032	794867	5.35732	386
216.6332	811953	5.74486	363
217.8732	792081	5.50481	378
219.0933	856854	5.35056	410
220.3233	871298	5.33286	403
221.5432	828169	5.14319	405
222.7632	814814	5.2619	393
223.9932	818257	5.63701	368
225.2132	862587	5.56452	377
226.4132	825385	5.37896	378
227.6332	779082	5.49349	373
228.8532	815946	5.17365	387
230.0732	777951	5.62931	372
231.3132	851470	5.61806	379
232.5332	822243	5.60663	396
233.7531	820225	5.50792	378
234.9732	885997	5.77247	388
236.1832	842573	5.8503	346
237.3832	821183	5.37052	359
238.5732	782290	5.18816	373
239.7732	802147	5.23163	361
240.994	820931	5.29366	370
242.1632	785872	5.06989	365
243.3532	911447	5.29797	387
244.5232	1784632	10.8731	371
245.6632	4069648	19.2328	417
246.7532	10006537	23.3019	498
247.7432	15476095	26.7008	511
248.6933	20292124	25.5869	558
255.3436	19543624	26.1465	542
255.9232	20103658	24.8039	559
256.8432	18351628	24.8027	520
267.9737	9259585	28.4827	441
281.8236	23055930	31.0985	483
295.5836	19536468	28.9473	501
320.9937	20848606	29.014	483
323.5637	19586048	31.3147	450
333.0937	19184150	31.1754	461
333.6633	22109816	31.3218	433
334.5732	21522886	30.0565	442
335.4932	21148904	30.4391	455
337.8337	18347870	30.3779	478
338.4132	21176558	29.3129	485
339.3232	20990104	30.8724	426
345.1637	19185816	32.0122	428
348.8436	17297334	30.7838	455
354.4237	17632304	31.0235	446
355.0033	20033376	30.0135	439
355.9332	19629194	29.8315	445
356.8532	19017622	31.2197	436
357.7732	19638216	31.4383	415
358.6932	18581082	29.2243	450
364.0136	17372424	31.2936	427
364.5932	18517912	31.2841	401
365.5232	18512082	30.5549	430
366.4541	17279174	32.0918	422
367.3832	18655092	32.0193	410
368.3132	18536032	32.2752	427
369.2632	18016728	30.4628	442
370.1732	18099840	30.6766	424
371.1132	17664348	31.5014	423
372.0332	17229738	31.6109	415
372.9632	17486282	30.9034	417
373.8932	17971754	31.7965	425
374.8332	17345954	30.0079	430
