MS:1000894_[sec]	MS:1000040	MS:1000041	S/N	peak_count
242.0205	545.480224609375	2	9.52033	33
256.49080000002	508.036102294922	2	1.32768	20
258.2886	604.050659179688	2	1.3104	25
259.36729999998	700.064270019531	2	2.22717	26
260.12140000002	692.078125	2	1.27477	28
261.08440000002	588.075866699219	2	1.54964	29
263.42329999998	684.087707519531	2	8.73106	80
268.1334	500.049926757813	2	1.27817	15
271.60519999998	988.106506347656	2	1.28101	30
274.43779999998	492.061584472656	2	2.01444	41
277.7226	508.036651611328	2	1.23566	19
279.95869999998	604.050170898438	2	1.44666	26
281.04250000002	692.0771484375	2	1.81937	31
282.084	588.075561523438	2	1.5995	19
284.80390000002	796.078125	2	1.21212	23
291.89680000002	527.009216308594	2	3.64561	39
296.8584	492.062164306641	2	3.05785	41
329.95819999998	508.037200927734	2	1.46605	19
335.0814	588.077697753906	2	2.08129	28
352.54189999998	500.050231933594	2	1.35427	28
353.71840000002	492.060211181641	2	3.10161	67
362.14150000002	726.52197265625	2	1.18492	25
373.28680000002	700.064453125	2	1.23093	26
382.65250000002	527.010314941406	2	4.21454	29
397.40650000002	500.049987792969	2	2.22783	23
407.47519999998	692.076354980469	2	1.29134	35
410.75989999998	508.036987304688	2	1.30409	20
420.56500000002	596.064758300781	2	2.2643	26
425.6763	796.076782226563	2	1.26506	20
447.76600000002	700.062866210938	2	1.24862	26
468.1311	692.076965332031	2	2.61283	24
481.34449999998	596.065002441406	2	1.31172	28
511.5693	404.035552978516	2	3.0468	38
535.81480000002	500.050140380859	2	3.84598	24
541.02109999998	553.465087890625	2	3.2591	62
576.4593	508.036956787109	2	3.15434	22
597.5337	500.050262451172	2	2.26352	19
656.0109	500.050018310547	2	1.71904	32
677.94499999998	508.036163330078	2	2.21707	26
686.58310000002	604.05078125	2	2.32096	26
689.83690000002	700.064392089844	2	1.23269	23
692.262	588.07666015625	2	2.0046	37
696.8019	500.049652099609	2	2.47704	23
698.04370000002	492.060333251953	2	2.8124	47
702.8301	508.036773681641	2	1.29995	26
706.87249999998	604.050537109375	2	2.54404	25
712.05040000002	527.009826660156	2	5.3712	26
716.2059	796.074951171875	2	1.65253	21
730.26619999998	596.064331054688	2	2.3789	30
1064.03050000002	514.940490722656	3	12.4762	341
1079.96890000002	543.619506835938	3	9.53652	338
1088.04550000002	514.940307617188	3	12.0498	310
1146.1233	568.818054199219	2	7.96492	191
1188.9693	543.303588867188	2	10.0393	135
1219.944	482.795928955078	2	6.28157	139
1242.62719999998	482.795288085938	2	6.65423	145
1256.08129999998	400.5859375	3	14.7902	344
1262.80129999998	448.272705078125	2	8.1605	188
1275.69580000002	605.973693847656	3	11.6491	375
1284.21289999998	560.28515625	2	6.41673	376
1297.49689999998	605.973327636719	3	12.6656	371
1327.49710000002	605.973083496094	3	12.4475	345
1338.31759999998	523.308837890625	3	11.253	400
1343.84119999998	424.76513671875	2	13.5711	288
1347.8424	605.973083496094	3	11.8642	333
1352.27890000002	466.258758544922	3	13.7462	429
1355.00149999998	566.283935546875	2	9.07606	445
1362.3888	523.307739257813	3	12.2257	369
1365.53770000002	424.765075683594	2	15.2138	263
1366.7622	404.251953125	2	14.8108	273
1373.12350000002	582.325988769531	2	8.62396	329
1378.7544	566.2861328125	2	8.16675	367
1385.29489999998	515.829772949219	2	11.7088	197
1389.4041	424.764343261719	2	12.5486	303
1391.35600000002	404.251373291016	2	14.5381	268
1400.7123	569.808837890625	2	22.461	279
1405.49230000002	517.967224121094	3	13.0382	402
