MS:1000894_[sec]	MS:1000040	MS:1000041	S/N	peak_count
243.7002	553.467224121094	2	2.13212	47
257.68819999998	604.050537109375	2	1.67839	30
258.6825	700.064086914063	2	1.27142	16
259.35559999998	508.036743164063	2	1.51359	29
260.18470000002	588.075256347656	2	1.84003	24
261.21130000002	492.061279296875	2	2.09638	37
263.12419999998	796.077819824219	2	1.28129	37
266.895	500.049285888672	2	2.2491	23
270.09850000002	692.078063964844	2	1.3594	34
278.37910000002	492.060516357422	2	2.00932	36
280.93540000002	604.050720214844	2	3.70044	27
282.53560000002	508.036682128906	2	1.22743	19
284.47180000002	700.063720703125	2	1.41634	21
286.21249999998	588.076171875	2	1.14466	16
306.75310000002	404.034973144531	2	3.59164	45
309.9672	596.063415527344	2	1.9563	25
330.33769999998	527.010314941406	2	5.39437	30
342.5685	500.049285888672	2	1.15322	26
535.40080000002	500.048675537109	2	3.52735	24
561.6393	500.048828125	2	17.2926	16
595.7694	500.0498046875	2	1.33622	23
617.81380000002	692.076721191406	2	1.70302	28
653.0508	500.048858642578	2	1.89837	23
670.4868	604.051513671875	2	1.329	15
740.59639999998	500.048706054688	2	3.54519	17
773.781	527.007873535156	2	5.69826	21
791.07469999998	527.014709472656	2	2.04386	22
807.69409999998	500.049163818359	2	1.37307	26
822.0384	692.077026367188	2	2.47275	38
844.76350000002	604.051635742188	2	1.72113	31
862.485	500.049072265625	2	2.68493	28
886.48759999998	604.051879882813	2	2.13424	25
906.3	500.049072265625	2	1.43505	22
952.70590000002	527.009643554688	2	2.05846	42
971.93020000002	623.02294921875	2	9.36456	46
1049.1	527.0087890625	2	2.42745	43
1072.35970000002	527.010864257813	2	2.93617	30
1092.31069999998	745.490112304688	2	2.46222	23
1105.4802	553.967895507813	2	4.08968	61
1121.98150000002	527.009765625	2	2.00762	32
1135.17739999998	553.465576171875	2	3.16451	64
1149.8304	500.049133300781	2	1.8982	23
1176.10510000002	745.491943359375	2	1.37706	22
1189.29949999998	553.467224121094	2	3.19265	67
1211.3157	545.47705078125	2	4.14579	103
1232.99209999998	641.99462890625	2	1.79741	30
1247.901	527.0087890625	2	1.98756	21
1270.24669999998	553.464294433594	2	2.68022	51
1393.33399999998	514.219665527344	2	6.47964	229
1411.50109999998	525.211975097656	2	5.3077	219
1425.48199999998	514.221862792969	2	8.60576	329
1443.35899999998	525.2119140625	2	5.2057	236
1455.441	514.22216796875	2	6.87399	228
1478.3388	455.230255126953	2	6.36525	193
1506.51190000002	455.229919433594	2	5.14337	147
1664.37319999998	550.604614257813	3	9.59204	317
1697.547	550.603698730469	3	9.95255	349
1718.98720000002	550.604125976563	3	8.18536	253
1873.90219999998	660.321899414063	2	6.34878	217
1890.66529999998	660.3173828125	2	5.52486	175
1947.51139999998	515.957580566406	3	10.6857	426
1969.10479999998	515.957336425781	3	11.072	369
2023.89910000002	520.629699707031	3	10.552	360
2051.22340000002	525.301513671875	3	10.1318	533
2073.37810000002	525.301025390625	3	10.7416	424
2095.05229999998	525.300720214844	3	9.14059	315
2198.57740000002	654.304809570313	2	9.38856	160
2240.65009999998	482.61328125	3	8.76226	279
2292.88609999998	694.31494140625	3	5.33828	346
2362.3935	604.958618164063	3	9.53736	433
2383.1286	604.9580078125	3	9.01026	322
2422.51579999998	451.266021728516	3	12.8234	219
2445.64720000002	463.60693359375	3	12.5658	258
2458.8666	555.774719238281	2	7.71317	167
2472.79369999998	463.606842041016	3	13.3569	279
2476.6596	555.778442382813	2	6.0532	128
2493.7206	548.955749511719	3	13.8539	287
2599.75360000002	595.760437011719	2	8.3955	412
2620.60030000002	595.759643554688	2	7.87547	298
2643.07570000002	507.798675537109	2	13.7024	169
2655.3828	432.279907226563	2	10.8319	80
2688.0408	434.780456542969	2	17.3557	159
2710.1235	434.780151367188	2	16.7685	152
2760.9246	635.743469238281	2	7.4745	474
2781.11929999998	646.734985351563	2	6.40617	189
2794.97689999998	635.742797851563	2	7.45001	359
2935.17109999998	441.788391113281	2	11.4432	115
2955.39949999998	484.788238525391	2	13.3014	112
2979.69409999998	484.790740966797	2	13.1276	104
3077.69890000002	456.774749755859	2	21.0182	243
3089.65600000002	448.262268066406	2	12.0008	189
3098.4909	456.774780273438	2	20.5733	231
3130.37569999998	477.725341796875	2	8.94679	159
3192.84070000002	595.85595703125	2	10.7944	309
3213.28420000002	595.855407714844	2	10.7046	258
3223.81120000002	457.267822265625	2	19.4878	249
3244.8531	457.267059326172	2	20.0945	212
3336.80389999998	573.861145019531	2	10.215	240
3357.3498	573.861633300781	2	8.33926	189
3371.70340000002	436.244567871094	2	12.6809	156
3508.86670000002	626.339782714844	2	13.0458	279
3529.94980000002	626.340637207031	2	13.7475	245
3544.69699999998	435.252044677734	2	6.34288	102
3567.0183	435.253631591797	2	7.47612	94
3600.83140000002	435.252563476563	2	6.31906	102
3655.77670000002	457.264190673828	2	6.33274	100
3676.90609999998	457.264038085938	2	5.99644	110
3739.98850000002	567.334289550781	2	19.2994	153
3753.20239999998	479.277099609375	2	8.97671	92
3772.8519	487.791625976563	2	6.51175	97
3781.13419999998	509.803894042969	2	4.44646	52
3794.61289999998	479.277679443359	2	8.3756	81
3819.66229999998	487.791931152344	2	6.29336	99
3835.3251	404.232177734375	2	8.98441	97
3839.45989999998	479.278442382813	2	7.52535	81
3855.5664	509.805358886719	2	6.89002	113
3864.24880000002	404.232543945313	2	16.9036	213
3874.52389999998	401.261322021484	2	11.7165	145
3879.09169999998	509.804473876953	2	7.26167	99
3895.67479999998	401.261199951172	2	5.59617	127
3908.98000000002	509.804412841797	2	7.03339	75
3927.99919999998	545.318725585938	2	10.8904	70
3944.0556	434.759429931641	2	11.2255	124
3950.48170000002	531.818603515625	2	8.24144	123
3957.70990000002	523.305297851563	2	10.6414	105
3964.48669999998	531.818054199219	2	8.56338	98
3970.76080000002	523.304809570313	2	9.69891	94
3976.64170000002	434.758728027344	2	5.91919	108
3985.6503	426.246215820313	2	18.1799	208
3997.50259999998	531.818176269531	2	6.51054	106
4006.5396	523.307373046875	2	7.76353	98
4018.60969999998	523.305725097656	2	8.449	74
4029.18589999998	562.343078613281	2	7.41576	81
4041.90829999998	584.355407714844	2	3.90448	79
4056.45769999998	553.831726074219	2	9.59779	85
4061.79760000002	456.772827148438	2	5.60963	99
4067.04970000002	545.318054199219	2	7.20683	101
4071.6015	562.345153808594	2	6.97968	86
4082.7054	436.77490234375	2	13.787	92
4088.65759999998	618.886596679688	2	7.21779	163
4103.67790000002	589.345336914063	2	17.1965	61
4117.626	597.858215332031	2	5.10701	60
4132.63399999998	575.844665527344	2	9.71211	106
4138.68760000002	567.331359863281	2	10.4204	84
4144.62790000002	584.358459472656	2	7.26962	87
4153.04650000002	586.836120605469	2	14.2993	126
4176.2049	450.274841308594	2	13.0789	64
4183.44220000002	619.870788574219	2	4.12897	93
4197.97759999998	458.787811279297	2	10.1269	94
4200.71419999998	450.274383544922	2	9.69993	57
4204.01860000002	597.855712890625	2	6.03956	179
4211.71120000002	606.369934082031	2	6.70826	72
4224.49849999998	606.371765136719	2	5.85188	58
4244.4804	589.344177246094	2	7.44594	65
4266.99619999998	480.801544189453	2	9.70463	104
4277.87149999998	619.870666503906	2	6.78631	76
4287.228	480.801849365234	2	11.2715	99
4290.4389	489.314971923828	2	9.49118	78
4295.27239999998	491.792572021484	2	10.7994	108
4341.35200000002	641.886901855469	2	5.21095	54
4356.43420000002	494.300506591797	2	7.89027	86
4370.4174	641.883728027344	2	4.70771	48
4385.47549999998	511.328887939453	2	6.60328	56
4408.15000000002	655.386108398438	2	7.10209	42
4427.6553	655.382019042969	2	5.22996	38
4444.96099999998	524.828735351563	2	11.4812	63
4450.3698	516.315856933594	2	6.59782	76
4459.41250000002	533.341796875	2	6.38277	76
4469.09749999998	524.828979492188	2	5.72	61
4524.41479999998	546.842041015625	2	8.32502	75
4533.91570000002	557.834655761719	2	11.4994	62
4547.47369999998	546.841247558594	2	7.83292	56
4604.06140000002	560.338073730469	2	3.91414	88
4680.62770000002	590.867309570313	2	4.03924	39
4902.53899999998	567.371643066406	2	11.7293	234
4929.00040000002	567.371337890625	2	8.51133	165
5036.73229999998	576.354431152344	2	8.03992	171
5316.24970000002	588.875122070313	2	6.56821	131
5545.0002	472.202789306641	2	12.6372	250
5565.74749999998	472.202087402344	2	13.0032	195
5625.12400000002	442.763488769531	2	5.03939	101
5666.9055	422.250732421875	2	8.00418	135
5676.43540000002	538.251831054688	2	30.3744	206
5677.97779999998	530.265930175781	2	29.5861	216
5679.4509	522.276672363281	2	27.2651	285
5685.26569999998	456.183410644531	2	20.6592	197
5691.3456	708.343139648438	2	2.39605	41
5695.14649999998	700.359741210938	2	3.85803	50
5698.66870000002	538.25146484375	2	32.3663	142
5699.62030000002	530.265563964844	2	28.5894	158
5700.3336	522.276733398438	2	30.1164	162
5703.94999999998	452.777862548828	2	8.73826	136
5708.73949999998	526.225036621094	2	11.282	255
5713.3284	518.241577148438	2	10.9409	276
5724.48109999998	452.777282714844	2	7.16682	154
5740.26490000002	474.790191650391	2	8.11679	155
5757.7503	480.327728271484	2	11.3436	111
6217.6827	614.35595703125	2	22.677	82
6219.6654	820.466613769531	2	1.21483	24
6229.95010000002	1018.59259033203	2	1.65294	35
6236.60860000002	622.345581054688	2	27.1905	152
6240.5322	820.467956542969	2	1.90051	25
6245.5497	622.342224121094	2	18.7005	99
6247.6908	614.359741210938	2	26.1629	153
6257.70049999998	622.345581054688	2	16.6887	106
6268.72879999998	614.361938476563	2	21.1817	83
6455.66299999998	533.529418945313	2	8.49903	124
6477.34489999998	533.530700683594	2	8.0129	129
6531.73630000002	533.531127929688	2	6.68869	100

