MS:1000894_[sec]	MS:1000040	MS:1000041	S/N	peak_count
243.01240000002	553.466369628906	2	2.91525	69
249.7596	604.049133300781	2	1.8053	15
250.74349999998	796.0771484375	2	1.22437	21
251.721	492.059417724609	2	2.41921	58
254.5683	588.074096679688	2	2.43757	30
259.67920000002	692.076843261719	2	1.26389	29
260.8854	508.036315917969	2	1.34031	18
263.64430000002	700.062866210938	2	2.04459	34
265.62910000002	492.062194824219	2	2.16382	49
268.89049999998	500.049468994141	2	1.42452	22
270.59110000002	604.050354003906	2	2.38194	29
271.6662	588.075134277344	2	1.36792	11
276.9732	796.078430175781	2	1.21607	36
280.4046	684.089294433594	2	8.05103	81
284.9892	700.063781738281	2	1.19991	28
287.24500000002	492.059722900391	2	2.59113	56
301.22509999998	500.050109863281	2	1.35585	27
309.07780000002	527.01123046875	2	5.83457	27
321.6798	500.050201416016	2	1.72215	26
344.5698	700.064636230469	2	1.63097	24
354.67000000002	796.076232910156	2	1.24693	18
379.10269999998	500.050262451172	2	2.20448	21
388.94899999998	508.036590576172	2	1.60443	18
399.6414	892.087768554688	2	1.18817	20
416.11480000002	700.062133789063	2	1.21017	27
454.98250000002	527.011596679688	2	3.59675	55
488.1885	527.011291503906	2	2.11837	20
499.9437	500.050048828125	2	1.71403	20
521.1084	596.064025878906	2	2.42612	27
612.22759999998	500.050109863281	2	1.43334	27
679.54399999998	604.051452636719	2	1.40993	23
682.9947	508.037689208984	2	1.50927	25
687.4473	527.00927734375	2	4.79394	30
693.18670000002	588.075439453125	2	1.45207	21
697.14859999998	492.061920166016	2	2.74919	54
702.01489999998	604.05126953125	2	1.16931	25
704.4219	508.036804199219	2	1.41991	16
709.44199999998	500.05029296875	2	4.60196	21
712.35250000002	700.065002441406	2	1.16282	17
717.02500000002	588.076049804688	2	2.40284	19
743.9367	527.0107421875	2	3.66917	49
808.1898	553.465759277344	2	3.16948	60
836.2635	500.050201416016	2	2.25863	32
1257.54550000002	478.631713867188	3	12.389	298
1379.8116	514.221008300781	2	5.09519	281
1412.38030000002	430.933868408203	3	17.1663	441
1430.31289999998	416.277954101563	3	11.9998	409
1439.7909	413.740997314453	2	10.4615	283
1451.74120000002	468.915161132813	3	11.8852	355
1455.3021	416.277465820313	3	13.4486	399
1463.75119999998	413.740142822266	2	9.30775	308
1472.03890000002	468.914184570313	3	10.0466	343
1481.43310000002	416.276977539063	3	13.4172	316
1487.3007	525.990112304688	3	12.3661	401
1496.72110000002	434.25341796875	2	10.5724	301
1508.3028	407.252258300781	4	10.8583	397
1512.43849999998	451.266143798828	2	7.83686	467
1519.2996	434.254302978516	2	9.99735	312
1525.36720000002	587.798522949219	2	12.3532	269
1532.52079999998	451.263854980469	2	8.66285	444
1543.13059999998	412.750183105469	2	12.9511	252
1553.05900000002	451.264312744141	2	8.69191	348
1558.75159999998	418.752075195313	2	8.39675	329
1578.15400000002	605.838012695313	2	9.27291	270
1591.71229999998	587.798583984375	2	12.487	308
1597.671	473.798706054688	2	14.6524	267
