MS:1000894_[sec]	MS:1000040	MS:1000041	S/N	peak_count
246.12349999998	649.479858398438	2	1.37185	18
254.5761	796.078857421875	2	1.33411	25
255.89560000002	492.060791015625	2	2.29691	59
258.4719	780.107299804688	2	1.27791	15
263.69260000002	604.051025390625	2	1.37596	24
265.24030000002	508.036346435547	2	2.18132	28
266.59300000002	588.076782226563	2	1.17541	26
268.74619999998	692.078002929688	2	1.39499	29
274.02769999998	684.088989257813	2	7.77443	68
277.3491	700.063171386719	2	1.16944	33
280.92949999998	492.061859130859	2	2.44219	55
284.7198	604.05029296875	2	3.12671	24
286.40650000002	588.075561523438	2	1.13275	24
291.42670000002	692.076721191406	2	1.51581	34
297.7302	500.049377441406	2	2.23508	22
330.8886	492.061370849609	2	3.56643	52
336.43549999998	700.065307617188	2	1.31041	26
353.45629999998	604.050231933594	2	1.93457	32
361.9044	500.049591064453	2	1.29401	17
383.3661	500.05029296875	2	1.82024	34
386.93680000002	692.077941894531	2	2.12907	26
398.94499999998	508.036773681641	2	1.44637	35
401.80330000002	700.063781738281	2	1.56316	19
434.1972	604.049682617188	2	2.50105	30
446.33959999998	700.065856933594	2	1.72193	21
463.34050000002	500.050170898438	2	2.16791	25
468.3381	596.065124511719	2	3.88526	23
498.53290000002	692.076049804688	2	4.11915	16
510.49879999998	527.010437011719	2	4.31305	35
522.22639999998	500.050079345703	2	5.03256	29
535.84270000002	604.051086425781	2	4.59436	25
651.4014	596.064331054688	2	2.65516	27
684.15760000002	500.049926757813	2	3.1044	29
687.24049999998	604.050659179688	2	1.9281	24
696.64150000002	588.074584960938	2	1.6137	21
703.0548	508.036193847656	2	2.92365	19
706.00330000002	500.049957275391	2	1.14788	19
707.2185	604.050415039063	2	1.61124	26
708.6198	700.0634765625	2	3.10849	22
710.49889999998	492.060638427734	2	3.13256	42
717.67540000002	588.075073242188	2	1.50824	22
725.8464	508.035797119141	2	2.75681	38
1378.2027	521.28125	3	13.673	374
1434.81610000002	514.219360351563	2	4.65529	174
1468.1613	455.232086181641	2	7.00049	235
1488.5364	455.230438232422	2	7.21629	260
1670.67919999998	550.60546875	3	9.22044	377
1695.08230000002	550.6044921875	3	9.22604	403
1715.30659999998	550.604553222656	3	10.4416	407
1783.58869999998	454.243896484375	3	11.1928	397
1811.4105	454.242767333984	3	10.7211	372
1863.44590000002	660.317687988281	2	6.40733	241
1880.46310000002	631.810363769531	2	6.16329	234
1904.53270000002	660.319946289063	2	6.52313	239
1958.14789999998	544.780456542969	2	6.10789	192
1973.05909999998	573.285888671875	2	5.60553	200
2119.59049999998	433.904022216797	3	11.1411	441
2140.42549999998	433.903564453125	3	12.9135	420
