MS:1000894_[sec]	MS:1000285
27.798	865045.1875
175.716	1228198.625
291.516	1806697
460.716	8493147
525.516	23239458
580.734	32266840
635.316	28902216
689.316	27324862
744.522	22716346
799.116	28290000
853.716	33916748
908.316	37582568
962.316	70439112
1013.916	31441904
1069.116	38302100
1123.116	39858584
1177.122	40917344
1231.116	40176188
1285.116	40501976
1338.516	42376564
1392.516	44484232
1445.316	40852480
1499.316	41603932
1552.716	42031676
1606.116	40537424
1659.516	41327836
1714.116	41162420
1774.488	37324704
1826.34	35706108
1886.34	32360242
1946.34	31577934
2006.352	29472156
2066.94	27363144
2126.94	25829706
2188.14	24358488
2248.14	21849822
2309.34	19818824
2370.54	19038150
2432.334	17483362
2493.534	17036938
2555.34	15480766
2616.534	16010852
2679.534	16200144
2741.736	16705435
2796.516	15397550
2851.116	15185705
2908.116	16011288
2963.316	15751371
3019.716	15180642
3075.516	15907720
3131.316	15895212
3186.516	15418047
3242.316	16863982
3297.516	17149830
3352.116	18646472
3407.316	18198392
3461.316	19528884
3516.516	23361688
3570.888	25078894
3626.34	28037710
3683.976	29827410
3741.534	32970566
3798.534	33098600
3855.534	31452104
3912.54	32797156
3968.94	30798722
4025.94	30813452
4082.934	26430150
4139.334	25491636
4196.34	19247602
4253.934	17418280
4311.54	14182495
4369.734	11319894
4428.534	9440921
4487.934	8440594
4548.54	7352857.5
4609.14	7168100
4670.334	5636215
4731.534	5637116
4793.94	5156522.5
4856.34	4653234
4919.334	4645028.5
4982.934	4129225
5046.54	3963522.25
5110.14	4030172.75
5174.334	4611317
5237.334	4527728.5
5301.54	5001059.5
5364.54	5418996.5
5427.54	5298409
5492.13	5160187
5547.564	5251817.5
5603.916	4757180
5660.916	4701684
5717.916	4219952.5
5775.516	4165724.25
5833.116	3852729.75
5891.916	3342227.5
5950.716	3186417.25
6010.116	2766711
6069.516	2868868.25
6130.116	2750200.75
6190.716	2539205.5
6252.516	2267404
6313.716	2376469.25
6375.516	2454168.75
6437.316	2158630.25
6499.716	2242058.5
6562.116	2130812.75
6625.116	2095912.375
6688.116	1908744.75
6752.916	2057226.5
6814.716	1973077.875
6878.916	1865781
6942.522	1834886.25
7007.316	1894384.625
7070.916	1888788.375
7135.716	2011520.875
7199.916	1799511.75
7265.316	1803535.625
7329.516	1836364
7394.922	1740993.125
7459.716	1650693.375
7525.158	1670376.625
7590.516	1693744.25
7656.516	1686674.5
7722.516	1731881.75
7787.916	1676522.25
