MS:1000894_[sec]	MS:1000285
27.234	1540062.875
175.176	776442
344.37	9156410
403.176	15010880
459.576	19979762
514.17	22629658
568.176	25390106
622.17	24181114
678.582	29906532
734.37	29966610
788.97	34230420
844.824	35604892
900.576	37654004
956.976	38360204
1012.77	40259636
1068.576	42567908
1123.776	45093540
1179.576	46486728
1234.176	47824316
1289.37	45648524
1343.97	43426604
1399.176	44462428
1454.376	42955748
1509.576	41066664
1564.776	42856708
1619.37	40556132
1675.188	38717240
1729.788	36510852
1785.57	20180882
1850.136	31984682
1904.394	30295880
1966.794	27574610
2029.194	27006122
2092.794	22440234
2156.394	21539666
2219.994	21603858
2284.194	19003062
2348.994	17451816
2413.8	16153291
2479.2	15159475
2544.594	15086053
2609.394	13622587
2675.4	12965014
2741.4	13004075
2806.794	12841509
2873.79	12559126
2930.976	13377897
2989.776	12996223
3047.97	13646585
3105.576	12929523
3163.776	13895408
3221.376	15185615
3277.77	14896652
3333.576	16068113
3389.376	16692473
3444.576	17628166
3499.176	17148928
3553.17	18302854
3606.576	20315238
3659.376	21156230
3714.348	35993620
3769.194	26067824
3826.248	16286336
3884.394	15841812
3941.994	15702289
3999.6	15581912
4057.794	13251984
4115.394	14572317
4173.594	12250643
4232.4	6984415.5
4292.394	5916576.5
4352.994	3699493.75
4418.994	5061142
4480.794	4319617
4543.794	3872630.75
4608.594	3705716.25
4673.394	3418966.5
4739.436	3133447.5
4807.194	2682303.25
4873.194	2630897.25
4940.394	2582906.75
5010.384	2394985.5
5070.57	2607044
5132.37	2471338
5193.57	2346291
5255.97	2455162.75
5318.37	2542189.75
5380.776	2664386.25
5441.988	2807753.75
5503.776	2865249.5
5565.57	2827379.25
5627.976	2682080.25
5690.376	2551414
5752.776	2379663
5815.77	2283509.5
5879.376	2112243
5942.976	2088318.5
6008.376	1827311.25
6071.976	1908684
6136.776	1938097.75
6201.588	1875714.875
6266.376	1813117.375
6331.17	1885809.25
6395.37	1882389
6458.976	1791264
6523.77	1909796.125
6587.37	1857534.625
6652.17	1791157.5
6715.788	1890914.5
6779.976	1896013.25
6843.576	1803354.625
6907.77	1825996.625
6973.176	1754227.5
7035.576	1804963.125
7099.776	1813736.125
7163.37	1814029.375
7226.376	1867819.375
7289.976	1941349.875
7352.97	1887726.875
7416.57	1936964.5
7478.976	1930076.75
7541.976	1853852.375
7604.97	1872404.875
7667.97	1695214.375
7730.376	1990506
7793.376	2958340.5
7849.77	1966599.5
7912.176	2067090.875
7974.576	1984595.5
8036.982	2056823.625
8098.77	3010019
8155.776	2041970.125
8218.176	2302200
8275.776	1884542.5
8336.97	2091772.125
8398.77	2659699.5
8455.776	1948410
8516.976	2038292.25
8578.224	2406019.25
8635.77	2626943
8692.77	2884619.5
8750.976	2393558.25
8808.576	2558190.75
8866.17	2501213
8923.77	2490740
8980.776	2250925.25
9038.376	2565570.5
9095.97	2324810.5
9154.17	2391679
9211.176	2251132.5
9269.97	2375957.75
9327.576	2217715.5
9386.37	1952370
9446.97	2175387
9505.776	2385625.5
9563.388	2293415.75
9621.57	2570482.5
9678.57	2373294.75
9736.776	2449403.75
9794.376	2559137.75
9852.57	2618886.5
9909.576	1811298.375
9971.976	2387215.25
10030.224	2602591
10084.224	2383758.5
10145.382	2245951.75
10204.176	2357826
10262.976	2416335.75
10320.576	2342174.5
10377.576	2424973.25
10435.77	2397259
10493.376	2354701.5
10551.576	2567290.25
10608.57	2553676
10666.176	2255391
10724.376	2246906.25
10783.176	2345298.5
10840.776	1975405.125
10901.376	2370507.75
10959.57	2347021.25
11017.176	2431597.25
11075.394	1944701.375
11135.97	2331585.75
11193.57	2195682
11252.976	2299834.5
11311.776	2344368.5
11369.37	2257437.5
11428.77	2423341.25
11486.976	2360526.25
11545.176	2577566
11602.776	2348083.25
11661.57	2307332.25
11719.776	2413006.5
11777.97	2200357.25
11837.976	2437335.5
11896.17	2313435.5
11954.376	2362028
12014.376	2082591.25
12073.182	2138206.5
12133.77	2226366.25
12190.176	2292580.75
12251.376	2242359.5
12309.588	2093671
12369.576	2330046
12427.17	2350129
12485.376	2155268.75
12544.176	2005166.625
12604.224	1925757.375
12664.776	2174750
12724.818	2137566.25
12782.376	2221023
12841.83	2325762.75
12899.97	2232811.5
12959.37	2267191
13019.376	2228643
13079.376	2136391.75
13138.782	2109445.25
13198.224	2017471.375
13256.376	2032267.125
13314.588	2101280.25
13373.97	1839087.625
13432.77	2135105.25
13490.97	2070911.75
13549.176	2059614.25
13607.976	2001960.75
13666.776	2063735.75
13726.224	2201850.25
13784.376	1894616.75
13843.17	2006557
13901.97	2112668.5
13959.57	2215705.5
14017.77	1731558.5
14077.182	2072924.25
14135.376	1908198.375
14194.176	2272541.25
14250.57	2039216.875
14307.576	2217824.5
14364.57	2179288.75
14420.97	2402135.5
14477.37	2719411
14533.788	3218309.5
14587.776	4888276.5
14641.776	2692911
14698.818	1649951.25
14767.77	2187003.75
14839.176	3056345.5
14906.376	4345535.5
14969.37	4980255
15031.77	5302461.5
15096.576	6353646.5
15158.976	6522912.5
15221.97	8727100
15282.576	8758926
15341.976	11430952
15400.176	13692637
15456.57	8260360.5
15517.212	506.443176269531
15988.2	7950139
16028.37	25210470
16079.976	9500366
16138.218	10141519
16195.17	4869956.5
16259.97	5276460
16324.224	5217246.5
16386.576	3978844.75
16453.77	11057998
16519.17	45374780
16571.376	44600136
16624.218	42894280
16669.794	26867.333984375
16754.436	32743.61328125
16838.4	2989980.25
16886.976	3186081.25
16952.97	2809408
17021.97	2782454
