MS:1000894_[sec]	MS:1000285
27.318	1164493.875
176.442	1537138.625
344.436	1014589.8125
513.654	5744381
577.836	26153022
631.836	26449588
687.036	29557952
742.836	31254476
799.248	36898944
855.036	38322500
910.236	40587484
966.042	41724756
1021.842	41155748
1076.436	49825404
1141.002	51832220
1192.26	48247324
1254.06	48769608
1314.06	47498076
1376.46	45574276
1436.46	50682540
1497.66	39512388
1558.866	42410924
1620.66	38958792
1681.86	37359444
1743.66	34996184
1806.066	31767782
1868.46	30090684
1930.26	26675396
1993.872	23498792
2056.272	23108198
2121.462	20119004
2177.436	19284938
2235.042	17460396
2293.854	17479616
2351.442	16827078
2409.636	14491417
2469.054	14320487
2527.836	14330432
2586.642	13167086
2646.042	12736117
2705.442	12305515
2764.842	13318566
2823.654	12858450
2882.436	12370319
2942.436	12310302
3000.042	12968395
3058.242	13520167
3116.436	14299533
3174.036	13345120
3230.442	15145018
3286.842	17022426
3342.042	18790632
3397.236	20506874
3451.236	18030330
3505.254	20181994
3558.636	22516620
3614.202	24478060
3669.054	26052324
3727.272	29711742
3784.86	30969404
3841.86	30844528
3898.86	32282506
3955.86	30062614
4012.272	29674932
4069.26	26190100
4126.26	21739868
4183.902	20221776
4241.472	14160636
4300.26	10732738
4360.26	8329318
4420.86	7047109.5
4482.06	6076273.5
4544.46	5560778.5
4607.46	5078963.5
4671.06	4729029.5
4735.26	3821704.5
4800.066	4633121.5
4865.46	3623997
4930.854	3626893.75
4996.86	3308429
5062.86	3268872.5
5128.86	3389842.25
5194.854	3468874.75
5260.86	3778043
5326.26	4265132.5
5392.26	4157960
5459.85	3972602.75
5517.642	3970487.75
5577.036	3426540.25
5637.636	3386098.25
5698.236	2949462.5
5758.836	3923666.75
5820.642	2817165
5882.442	2482063.25
5945.436	2413486.25
6008.442	2387968.5
6072.042	2172940
6136.236	2179851.25
6200.436	2182194
6264.642	2015945.375
6329.454	1814337.5
6394.236	2077952.375
6459.684	2048803.5
6525.042	1814562
6589.842	1897803.875
6655.242	1866351.25
6721.242	1828152.75
6787.242	1785483.5
6853.242	1746028.625
6919.242	1777393.5
6985.836	1635616.875
7052.442	1788629.625
7119.042	1722168.5
7185.642	1659195.375
7254.036	1662798.875
7320.642	1601075.25
7387.842	1678483.375
7455.036	1468799.25
7523.436	1511711.625
