MS:1000894_[sec]	MS:1000285
26.916	390383.5
174.864	1065950.375
292.458	1177129.625
377.718	2294775
436.464	1290856
503.658	3602879
555.864	3892208
609.264	3783952.25
663.858	3414482.25
718.458	5540896
771.858	3750696.25
827.676	4258859
882.864	4569644.5
937.458	4886197.5
992.658	6850105.5
1046.058	6123956
1100.664	6453249.5
1154.658	6964126
1209.258	5568597
1263.858	5699191
1318.476	7888609.5
1372.458	7440329
1425.858	7734840
1479.858	7118988.5
1533.258	6771520
1587.864	8350424.5
1641.264	8072534
1695.264	6500984
1749.264	8224124.5
1803.264	8585350
1856.076	8610349
1910.064	9523848
1962.858	8167356.5
2016.258	9123156
2069.658	9072587
2123.064	9034376
2176.47	9193094
2229.858	9028270
2283.258	9185440
2336.058	9544228
2389.464	9910358
2442.258	9403109
2495.058	9070603
2548.458	9301861
2601.264	9104584
2654.064	9718709
2707.476	8181705
2760.858	7079119.5
2815.464	7591867
2869.464	8162407.5
2923.476	9547912
2977.458	10001215
3030.858	10159897
3084.864	10971510
3138.264	11548322
3191.658	11425938
3244.458	12284654
3297.258	12341745
3349.464	13211481
3402.258	12817271
3462.018	15510730
3511.482	17113430
3569.082	18801434
3626.082	21201810
3682.482	22040142
3738.882	19583544
3795.876	21791788
3851.682	21359450
3908.682	20395386
3964.482	17014242
4020.876	17303946
4077.882	17274386
4134.282	16024976
4191.282	15142191
4248.276	15100901
4304.682	13117824
4362.282	13036529
4420.488	11028385
4478.076	11341712
4536.876	10650117
4595.688	8567911
4655.082	8648429
4715.082	8140749
4774.482	14016590
4833.282	6989838.5
4893.282	6644570
4953.882	6847022.5
5014.482	6290077
5076.276	6058899
5137.482	6062421.5
5198.682	5831540.5
5261.082	5705551
5322.876	5406265.5
5385.294	5502500
5447.082	8381197.5
5507.682	4849450
5571.672	4797139.5
5626.458	5483795
5681.658	4712768.5
5738.058	4710080
5794.458	4513366.5
5850.858	4179243.75
5909.064	4140854.75
5965.464	4338992.5
6021.864	4369414.5
6078.864	3958097.5
6137.664	3903176
6193.464	3667756
6251.058	3382544.25
6309.258	3280408
6366.876	3199068.5
6425.058	3205915
6483.876	3342541.25
6541.458	3402257.25
6600.258	3087728.25
6658.458	4233089.5
6714.264	2818268
6773.058	2638821
6832.458	2662988.25
6891.264	2752781.25
6950.658	2602942.75
7009.458	2266832.25
7069.458	2383149.25
7129.464	2178690.75
7189.464	2085323.25
7250.058	2013930.375
7310.658	3563054.5
7366.458	2042751
7427.664	1968120.375
7488.258	1967098.375
7550.058	1818665
7610.658	1936503
7671.258	1705928.375
7733.058	1627952.25
7795.458	1779580.5
7856.658	1644773.75
7919.064	1539597.875
7980.864	1747943.875
8043.258	1586769.25
8105.658	1621561.5
8168.658	1557431.375
8231.058	1473818.625
8294.664	1461445.125
8358.258	1458893.75
8418.906	1405626.5
8484.858	1968864.5
8547.264	1269125.25
8611.464	1387214.875
8675.058	1347073.875
8738.658	1397641.25
8803.458	1301820.5
8867.658	1388806
8931.864	1262281.25
8996.064	1295335.625
9061.458	1267215.125
9126.258	1343543.875
9191.076	1269721.375
9255.864	572784.9375
9323.43	1521192
9389.682	1387397.75
9461.082	1460860.875
9530.682	1332309.125
9601.482	1388415.375
9672.282	1459772.125
9744.294	1531353.875
9812.076	1528186.25
9882.282	1515576.125
9951.882	1439204.125
10022.682	1479849.75
10092.276	1530399.5
10162.482	2450866
10227.294	1658773.25
10295.682	2252908.25
10360.482	1791907.5
10429.872	1819430.125
10488.276	1580407.5
10550.658	2128443.5
10608.858	2374651.25
10667.064	2027084
10727.664	2209675.5
10785.258	1903004.5
